[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.75	0.558	100.0%	0.003	100.0%	170.4	25.5%	0.909	100.0%	95.12%	17.5%	35.2%	47.3%	[1-0.43 0]
1	H	(3)	39.28	0.326	100.0%	0.004	100.0%	171.1	29.0%	0.530	100.0%	90.24%	18.0%	34.9%	47.1%	[1-0.43 0]
2	H	(3)	58.96	0.440	100.0%	0.007	100.0%	171.0	27.3%	0.715	100.0%	78.45%	17.7%	35.3%	47.1%	[1-0.43 0]
3	H	(3)	79.81	0.282	100.0%	0.006	100.0%	178.5	27.1%	0.438	100.0%	75.41%	23.5%	27.3%	49.2%	[1-0.43 0]
4	H	(3)	99.50	0.335	100.0%	0.009	100.0%	178.7	27.0%	0.521	100.0%	69.65%	24.3%	27.0%	48.8%	[1-0.43 0]
5	H	(3)	119.21	0.332	100.0%	0.011	100.0%	177.0	27.3%	0.522	100.0%	66.84%	25.8%	26.4%	47.8%	[1-0.43 0]
6	H	(3)	140.10	0.281	100.0%	0.011	100.0%	174.1	27.0%	0.449	100.0%	66.84%	27.2%	26.1%	46.7%	[1-0.43 0]
7	H	(3)	159.82	0.154	100.0%	0.007	100.0%	150.3	27.6%	0.284	100.0%	66.19%	36.9%	23.4%	39.8%	[1-0.43 0]
8	H	(3)	179.52	0.156	100.0%	0.008	100.0%	128.5	27.8%	0.338	100.0%	60.02%	37.1%	29.4%	33.5%	[1-0.43 0]
9	H	(3)	199.22	0.089	100.0%	0.005	100.0%	116.5	29.0%	0.213	100.0%	59.10%	38.8%	29.8%	31.3%	[1-0.43 0]
10	H	(3)	222.40	0.093	100.0%	0.006	100.0%	117.8	30.5%	0.220	100.0%	55.65%	42.6%	24.6%	32.8%	[1-0.43 0]
11	H	(3)	240.96	0.097	100.0%	0.006	100.0%	122.2	30.0%	0.221	100.0%	53.79%	45.4%	19.8%	34.8%	[1-0.43 0]
12	H	(3)	261.82	0.110	100.0%	0.008	100.0%	142.9	30.2%	0.214	100.0%	53.00%	38.9%	19.2%	41.9%	[1-0.43 0]
13	H	(3)	281.51	0.142	81.5%	0.011	81.5%	150.7	28.2%	0.262	76.5%	48.11%	36.9%	17.2%	45.8%	[1-0.43 0]
14	H	(3)	300.06	0.155	72.7%	0.013	72.7%	156.2	24.8%	0.275	68.3%	45.45%	39.0%	14.6%	46.4%	[1-0.43 0]
15	H	(3)	319.74	0.118	70.3%	0.010	70.3%	132.8	22.0%	0.246	66.8%	45.04%	38.6%	21.5%	39.9%	[1-0.43 0]
16	H	(3)	340.61	0.102	64.4%	0.010	64.4%	113.1	20.1%	0.250	61.1%	42.80%	40.9%	24.9%	34.2%	[1-0.43 0]
17	H	(3)	361.46	0.099	55.1%	0.010	55.1%	101.8	15.7%	0.271	52.8%	39.86%	43.8%	26.5%	29.7%	[1-0.43 0]
18	H	(3)	382.32	0.101	55.9%	0.011	55.9%	99.6	16.2%	0.282	53.5%	38.52%	50.6%	22.7%	26.8%	[1-0.43 0]
19	H	(3)	400.86	0.098	55.2%	0.011	55.2%	91.9	17.3%	0.296	52.4%	37.43%	53.9%	21.7%	24.3%	[1-0.43 0]
20	H	(3)	419.40	0.131	48.0%	0.015	48.0%	101.8	17.2%	0.357	44.8%	34.80%	57.9%	16.1%	26.0%	[1-0.43 0]
21	H	(3)	440.29	0.145	46.7%	0.018	46.7%	110.2	14.7%	0.366	44.4%	33.91%	59.8%	13.2%	27.0%	[1-0.43 0]
22	H	(3)	461.17	0.145	47.6%	0.019	47.6%	109.4	15.9%	0.369	44.9%	33.61%	63.1%	10.1%	26.8%	[1-0.43 0]
