[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.73	1.095	100.0%	0.006	100.0%	209.4	26.2%	1.452	100.0%	69.65%	21.2%	21.1%	57.7%	[1-1.00 0]
1	H	(3)	39.30	0.567	94.9%	0.006	94.9%	113.9	24.8%	1.383	91.6%	49.92%	42.2%	27.8%	30.0%	[1-1.00 0]
2	H	(3)	58.99	0.858	59.4%	0.014	59.4%	121.6	18.6%	1.960	56.4%	35.72%	37.1%	30.3%	32.6%	[1-1.00 0]
3	H	(3)	79.85	0.803	54.4%	0.018	54.4%	117.3	16.1%	1.901	52.0%	31.23%	36.9%	31.8%	31.3%	[1-1.00 0]
4	H	(3)	99.57	0.823	45.7%	0.023	45.7%	107.7	15.3%	2.123	43.1%	26.65%	39.5%	31.9%	28.6%	[1-1.00 0]
5	H	(3)	119.12	0.636	33.6%	0.021	33.6%	81.6	7.9%	2.165	32.7%	24.88%	45.0%	33.9%	21.1%	[1-1.00 0]
6	H	(3)	139.98	0.707	29.7%	0.027	29.7%	89.4	8.4%	2.197	28.4%	22.88%	45.0%	31.6%	23.4%	[1-1.00 0]
7	H	(3)	159.67	0.585	26.9%	0.026	26.9%	72.6	8.1%	2.239	25.7%	21.85%	53.8%	27.8%	18.4%	[1-1.00 0]
8	H	(3)	179.39	0.553	24.1%	0.028	24.1%	62.6	7.9%	2.451	22.8%	20.22%	61.9%	22.6%	15.5%	[1-1.00 0]
9	H	(3)	199.45	0.550	22.7%	0.030	22.7%	60.4	8.0%	2.531	21.2%	19.25%	66.5%	18.7%	14.8%	[1-1.00 0]
10	H	(3)	220.14	0.534	21.8%	0.033	21.8%	55.6	9.1%	2.671	19.8%	18.28%	72.1%	14.5%	13.4%	[1-1.00 1]
11	H	(3)	239.66	0.554	20.6%	0.037	20.6%	56.0	8.1%	2.748	18.9%	17.55%	75.3%	11.1%	13.6%	[1-1.00 1]
12	H	(3)	260.34	0.548	20.1%	0.040	20.1%	54.9	8.1%	2.775	18.4%	17.05%	77.9%	9.1%	13.0%	[1-1.00 1]
13	H	(3)	280.05	0.543	19.5%	0.042	19.5%	53.6	8.4%	2.810	17.5%	16.43%	79.4%	8.1%	12.6%	[1-1.00 1]
14	H	(3)	299.77	0.521	18.6%	0.043	18.6%	50.9	7.9%	2.844	16.9%	15.95%	81.4%	6.8%	11.8%	[1-1.00 1]
15	H	(3)	319.49	0.494	18.1%	0.044	18.1%	48.7	7.1%	2.818	16.7%	15.64%	83.6%	5.3%	11.1%	[1-1.00 1]
16	H	(3)	340.38	0.464	17.8%	0.044	17.8%	45.7	7.5%	2.820	16.2%	15.18%	85.3%	4.5%	10.1%	[1-1.00 1]
17	H	(3)	359.92	0.457	17.7%	0.046	17.7%	44.4	8.4%	2.858	15.6%	14.75%	86.3%	4.0%	9.8%	[1-1.00 1]
18	H	(3)	379.64	0.398	17.4%	0.042	17.4%	38.6	8.8%	2.867	15.0%	14.24%	87.1%	4.8%	8.1%	[1-1.00 1]
19	H	(3)	400.52	0.388	16.5%	0.043	16.5%	37.0	7.9%	2.907	14.4%	13.63%	87.5%	4.9%	7.6%	[1-1.00 1]
20	H	(3)	420.19	0.361	16.1%	0.042	16.1%	35.0	7.5%	2.866	14.2%	13.33%	87.6%	5.4%	7.0%	[1-0.98 2]
21	H	(3)	440.88	0.332	15.6%	0.041	15.6%	33.1	6.8%	2.791	14.0%	12.90%	86.3%	7.2%	6.5%	[1-0.83 2]
22	H	(3)	460.60	0.342	14.7%	0.044	14.7%	34.3	5.4%	2.770	13.6%	12.59%	85.0%	8.1%	7.0%	[1-0.97 2]
23	H	(3)	480.33	0.373	14.7%	0.050	14.7%	38.0	6.1%	2.720	13.4%	12.28%	82.6%	9.3%	8.1%	[1-0.74 2]
24	H	(3)	501.02	0.351	14.6%	0.049	14.6%	36.9	6.4%	2.646	13.2%	12.05%	81.0%	11.2%	7.8%	[1-0.52 2]
25	H	(3)	520.74	0.352	14.3%	0.051	14.3%	37.7	6.4%	2.593	12.8%	11.84%	78.8%	13.1%	8.1%	[1-0.41 2]
26	H	(3)	540.28	0.347	13.9%	0.052	13.9%	38.4	5.9%	2.510	12.6%	11.59%	76.3%	15.3%	8.3%	[1-0.15 2]
27	H	(3)	561.15	0.341	13.5%	0.053	13.5%	38.0	6.2%	2.495	12.0%	11.31%	73.6%	18.1%	8.3%	[1-0.26 2]
28	H	(3)	580.87	0.355	13.2%	0.057	13.2%	40.7	5.8%	2.424	11.8%	11.10%	70.7%	20.1%	9.2%	[1-0.00 2]
29	H	(3)	600.41	0.362	12.7%	0.060	12.7%	41.2	5.9%	2.441	11.3%	10.87%	68.2%	22.5%	9.3%	[1-0.23 2]
30	H	(3)	621.29	0.348	12.6%	0.060	12.6%	40.5	6.1%	2.383	11.0%	10.65%	65.7%	25.2%	9.2%	[1-0.00 2]
31	H	(6)	641.01	0.338	12.8%	0.060	12.8%	39.8	6.8%	2.360	10.9%	10.49%	64.7%	26.4%	8.9%	[1-0.00 2]
32	H	(6)	660.73	0.303	12.6%	0.056	12.6%	36.2	6.7%	2.324	10.7%	10.33%	63.6%	28.6%	7.8%	[1-0.00 2]
33	H	(6)	681.45	0.288	12.0%	0.055	12.0%	33.5	6.2%	2.390	10.3%	10.15%	64.9%	28.1%	7.0%	[1-0.37 2]
34	H	(6)	701.16	0.309	13.1%	0.060	13.1%	35.5	8.1%	2.419	10.3%	10.07%	66.1%	26.3%	7.6%	[1-0.56 2]
35	H	(6)	720.89	0.285	13.2%	0.057	13.2%	32.9	8.2%	2.409	10.3%	9.99%	67.9%	25.4%	6.8%	[1-0.48 2]
36	H	(6)	740.59	0.315	13.0%	0.065	13.0%	36.0	8.1%	2.430	10.2%	9.77%	68.1%	24.2%	7.7%	[1-0.33 2]
37	H	(6)	761.30	0.336	13.0%	0.071	13.0%	38.7	8.1%	2.410	10.2%	9.63%	68.1%	23.4%	8.5%	[1-0.12 2]
38	H	(6)	780.84	0.337	12.9%	0.073	12.9%	39.3	8.2%	2.383	10.0%	9.51%	66.6%	24.7%	8.7%	[1-0.11 2]
39	H	(6)	800.55	0.314	11.9%	0.070	11.9%	37.8	6.6%	2.310	9.9%	9.41%	64.2%	27.5%	8.2%	[1-0.00 2]
40	H	(6)	821.28	0.339	11.8%	0.077	11.8%	39.9	7.0%	2.359	9.5%	9.29%	62.9%	28.3%	8.8%	[1-0.43 2]
41	H	(6)	840.98	0.314	11.4%	0.073	11.4%	37.3	6.4%	2.339	9.4%	9.23%	63.6%	28.3%	8.1%	[1-0.48 2]
42	H	(6)	861.68	0.314	11.3%	0.075	11.3%	36.8	6.3%	2.372	9.3%	9.10%	64.3%	27.7%	7.9%	[1-0.61 2]
43	H	(6)	881.35	0.308	11.4%	0.075	11.4%	35.4	6.8%	2.416	9.2%	8.99%	66.1%	26.4%	7.5%	[1-0.70 2]
44	H	(6)	901.07	0.294	12.3%	0.074	12.3%	33.8	8.0%	2.418	9.2%	8.91%	68.2%	24.7%	7.1%	[1-0.49 2]
45	H	(6)	920.78	0.292	13.2%	0.075	13.2%	33.5	9.5%	2.421	9.2%	8.81%	68.3%	24.7%	7.0%	[1-0.48 2]
46	H	(6)	941.66	0.279	13.8%	0.073	13.8%	32.6	10.3%	2.379	9.1%	8.70%	67.4%	25.9%	6.7%	[1-0.36 2]
47	H	(6)	961.38	0.259	14.5%	0.069	14.5%	30.6	11.3%	2.354	9.1%	8.64%	67.1%	26.7%	6.1%	[1-0.41 2]
48	H	(6)	980.98	0.229	14.3%	0.062	14.3%	27.4	11.1%	2.319	9.0%	8.58%	67.2%	27.6%	5.2%	[1-0.34 2]
49	H	(6)	1001.85	0.223	13.6%	0.062	13.6%	27.2	10.3%	2.282	9.0%	8.52%	66.5%	28.4%	5.1%	[1-0.27 2]
50	H	(6)	1021.47	0.208	12.9%	0.059	12.9%	25.6	9.4%	2.255	8.8%	8.46%	65.8%	29.6%	4.6%	[1-0.27 2]
51	H	(6)	1041.19	0.207	14.8%	0.060	14.8%	25.3	11.8%	2.270	9.0%	8.38%	66.1%	29.4%	4.5%	[1-0.37 2]
52	H	(6)	1060.91	0.195	14.8%	0.057	14.8%	23.7	11.9%	2.285	8.9%	8.31%	66.6%	29.4%	4.0%	[1-0.42 2]
53	H	(6)	1081.79	0.214	15.2%	0.064	15.2%	26.2	12.2%	2.272	9.0%	8.23%	65.3%	30.0%	4.7%	[1-0.41 2]
54	H	(6)	1101.50	0.209	15.4%	0.064	15.4%	25.7	12.4%	2.256	9.1%	8.14%	64.8%	30.7%	4.5%	[1-0.29 2]
55	H	(6)	1122.26	0.211	15.6%	0.066	15.6%	26.1	12.6%	2.254	9.3%	8.06%	64.9%	30.5%	4.6%	[1-0.21 2]
56	H	(6)	1141.90	0.194	14.4%	0.062	14.4%	24.1	11.2%	2.241	9.0%	7.97%	64.3%	31.8%	4.0%	[1-0.20 2]
57	H	(6)	1161.49	0.203	14.5%	0.066	14.5%	25.6	11.1%	2.208	9.4%	7.92%	62.7%	32.9%	4.4%	[1-0.12 2]
58	H	(6)	1182.37	0.202	14.9%	0.067	14.9%	25.8	11.3%	2.179	9.6%	7.84%	61.7%	33.9%	4.4%	[1-0.00 2]
59	H	(6)	1202.10	0.208	14.7%	0.069	14.7%	26.7	11.0%	2.160	9.7%	7.78%	60.4%	34.9%	4.7%	[1-0.00 2]
60	H	(6)	1223.00	0.201	14.1%	0.068	14.1%	25.8	10.0%	2.162	9.9%	7.70%	59.9%	35.7%	4.4%	[1-0.00 2]
61	H	(6)	1241.51	0.187	13.1%	0.064	13.1%	24.4	8.8%	2.131	9.8%	7.65%	59.3%	36.8%	4.0%	[1-0.00 2]
62	H	(6)	1262.38	0.189	13.4%	0.066	13.4%	24.6	8.8%	2.134	10.0%	7.58%	59.1%	36.9%	4.0%	[1-0.00 2]
63	H	(6)	1282.10	0.164	12.1%	0.058	12.1%	21.4	7.6%	2.123	9.4%	7.50%	59.1%	37.8%	3.1%	[1-0.00 2]
64	H	(6)	1301.82	0.160	12.0%	0.058	12.0%	21.0	7.2%	2.127	9.6%	7.44%	59.3%	37.7%	3.0%	[1-0.00 2]
65	H	(6)	1322.70	0.179	12.0%	0.066	12.0%	22.6	7.4%	2.196	9.5%	7.37%	59.4%	37.2%	3.5%	[1-0.47 2]
66	H	(6)	1343.49	0.197	13.5%	0.073	13.5%	24.2	8.9%	2.255	10.2%	7.30%	60.8%	35.1%	4.1%	[1-0.50 2]
67	H	(6)	1362.04	0.196	14.2%	0.074	14.2%	24.1	9.7%	2.255	10.4%	7.27%	61.7%	34.2%	4.1%	[1-0.46 2]
68	H	(6)	1382.84	0.212	15.1%	0.082	15.1%	25.6	10.4%	2.302	11.0%	7.23%	63.3%	32.0%	4.7%	[1-0.58 2]
69	H	(6)	1402.56	0.221	15.5%	0.086	15.5%	26.6	10.7%	2.310	11.2%	7.19%	64.1%	30.9%	5.0%	[1-0.55 2]
70	H	(6)	1422.27	0.217	14.9%	0.086	14.9%	25.7	10.2%	2.347	10.9%	7.14%	64.9%	30.4%	4.7%	[1-0.74 2]
71	H	(6)	1444.43	0.229	14.7%	0.092	14.7%	26.8	10.2%	2.372	10.6%	7.08%	65.3%	29.7%	5.0%	[1-0.80 2]
72	H	(6)	1462.92	0.228	13.9%	0.093	13.9%	26.9	9.2%	2.359	10.4%	7.05%	65.8%	29.2%	5.0%	[1-0.71 2]
73	H	(6)	1482.63	0.238	13.7%	0.098	13.7%	28.1	9.3%	2.352	10.1%	7.00%	65.3%	29.4%	5.3%	[1-0.69 2]
74	H	(6)	1502.37	0.233	13.0%	0.097	13.0%	27.3	8.7%	2.370	9.7%	6.95%	66.1%	28.9%	5.0%	[1-0.74 2]
75	H	(6)	1523.12	0.234	13.7%	0.099	13.7%	27.3	9.7%	2.377	9.7%	6.91%	66.6%	28.4%	5.0%	[1-0.75 2]
76	H	(6)	1542.77	0.222	13.2%	0.095	13.2%	26.1	9.0%	2.362	9.6%	6.88%	66.6%	28.8%	4.7%	[1-0.75 2]
77	H	(6)	1562.49	0.213	13.2%	0.092	13.2%	25.0	9.1%	2.359	9.6%	6.85%	67.2%	28.4%	4.4%	[1-0.72 2]
78	H	(6)	1582.20	0.209	14.3%	0.092	14.3%	24.4	10.5%	2.375	9.7%	6.79%	67.7%	28.1%	4.2%	[1-0.74 2]
79	H	(6)	1603.09	0.201	14.4%	0.089	14.4%	23.5	10.5%	2.374	9.8%	6.75%	68.1%	28.0%	4.0%	[1-0.73 2]
80	H	(6)	1623.89	0.228	15.1%	0.103	15.1%	26.5	10.9%	2.386	10.4%	6.72%	68.2%	27.0%	4.9%	[1-0.72 2]
81	H	(6)	1643.51	0.250	15.8%	0.114	15.8%	29.0	11.5%	2.396	10.8%	6.68%	68.2%	26.2%	5.6%	[1-0.66 2]
82	H	(6)	1663.21	0.241	15.5%	0.111	15.5%	28.2	11.0%	2.371	10.8%	6.65%	68.2%	26.5%	5.3%	[1-0.57 2]
83	H	(6)	1682.85	0.238	14.9%	0.111	14.9%	28.2	9.9%	2.348	11.2%	6.61%	68.2%	26.5%	5.3%	[1-0.40 2]
84	H	(6)	1704.88	0.243	15.7%	0.115	15.7%	28.7	10.7%	2.351	11.4%	6.56%	67.6%	26.9%	5.5%	[1-0.48 2]
85	H	(6)	1723.38	0.214	14.7%	0.102	14.7%	25.7	9.6%	2.311	11.1%	6.53%	66.7%	28.7%	4.6%	[1-0.42 2]
86	H	(6)	1743.03	0.195	14.5%	0.094	14.5%	23.5	9.3%	2.298	11.1%	6.49%	66.0%	30.1%	4.0%	[1-0.47 2]
87	H	(6)	1762.74	0.197	15.3%	0.097	15.3%	24.1	10.1%	2.277	11.5%	6.46%	65.1%	30.8%	4.1%	[1-0.43 2]
88	H	(6)	1783.63	0.197	15.5%	0.098	15.5%	24.3	10.2%	2.253	11.7%	6.43%	64.0%	31.8%	4.2%	[1-0.37 2]
