[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.61	0.780	96.6%	0.004	96.6%	201.9	20.9%	1.073	94.4%	100.00%	32.5%	12.6%	54.8%	[1-0.43 0]
1	H	(3)	39.32	0.393	100.0%	0.004	100.0%	202.8	29.7%	0.538	100.0%	100.00%	32.8%	12.0%	55.1%	[1-0.43 0]
2	H	(3)	59.00	0.263	100.0%	0.004	100.0%	204.2	39.1%	0.358	100.0%	100.00%	32.7%	12.0%	55.3%	[1-0.43 0]
3	H	(3)	79.84	0.194	100.0%	0.004	100.0%	203.7	48.4%	0.265	100.0%	100.00%	32.6%	12.1%	55.3%	[1-0.43 0]
4	H	(3)	99.55	0.154	100.0%	0.004	100.0%	197.8	54.9%	0.217	100.0%	100.00%	29.4%	16.7%	53.8%	[1-0.43 0]
5	H	(3)	119.24	0.121	100.0%	0.004	100.0%	194.2	69.6%	0.173	100.0%	95.12%	25.8%	21.3%	53.0%	[1-0.43 0]
6	H	(3)	140.08	0.098	100.0%	0.004	100.0%	190.3	84.4%	0.144	100.0%	95.12%	21.9%	26.1%	52.0%	[1-0.43 0]
7	H	(3)	159.79	0.082	100.0%	0.004	100.0%	185.3	98.6%	0.122	100.0%	95.12%	18.2%	30.8%	50.9%	[1-0.43 0]
8	H	(3)	179.49	0.064	100.0%	0.003	100.0%	195.0	100.0%	0.090	100.0%	95.12%	15.4%	31.0%	53.6%	[1-0.43 0]
9	H	(3)	199.20	0.073	100.0%	0.004	100.0%	211.2	100.0%	0.096	100.0%	90.24%	15.2%	26.8%	58.0%	[1-0.43 0]
10	H	(3)	220.06	0.066	100.0%	0.004	100.0%	198.1	100.0%	0.092	100.0%	83.19%	20.4%	25.1%	54.5%	[1-0.43 0]
11	H	(3)	239.75	0.074	100.0%	0.005	100.0%	206.3	81.9%	0.100	100.0%	78.31%	22.2%	21.1%	56.7%	[1-0.43 0]
12	H	(3)	259.44	0.066	100.0%	0.005	100.0%	184.4	68.1%	0.099	100.0%	74.86%	23.9%	25.6%	50.5%	[1-0.43 0]
13	H	(3)	280.30	0.049	100.0%	0.004	100.0%	149.4	49.6%	0.091	100.0%	74.86%	24.8%	34.5%	40.7%	[1-0.43 0]
14	H	(3)	299.99	0.063	72.9%	0.005	72.9%	138.9	19.5%	0.126	70.2%	62.93%	28.2%	34.0%	37.7%	[1-0.43 0]
15	H	(3)	319.68	0.066	77.1%	0.006	77.1%	155.4	18.8%	0.118	74.7%	62.93%	26.9%	31.1%	42.0%	[1-0.43 0]
16	H	(3)	339.38	0.061	77.5%	0.006	77.5%	150.9	16.8%	0.113	75.7%	62.93%	28.8%	30.6%	40.7%	[1-0.43 0]
17	H	(3)	360.23	0.070	81.1%	0.007	81.1%	176.8	16.5%	0.110	79.4%	62.93%	30.7%	21.5%	47.8%	[1-0.43 0]
18	H	(3)	379.92	0.077	85.1%	0.008	85.1%	202.2	16.4%	0.106	83.5%	62.93%	32.8%	12.2%	55.0%	[1-0.43 0]
19	H	(3)	399.63	0.073	84.6%	0.008	84.6%	202.3	16.4%	0.101	82.9%	62.93%	32.6%	12.4%	55.1%	[1-0.43 0]
20	H	(3)	420.47	0.078	77.8%	0.009	77.8%	206.7	16.4%	0.104	76.1%	60.77%	31.2%	12.5%	56.3%	[1-0.43 0]
21	H	(3)	440.16	0.083	71.2%	0.010	71.2%	210.7	16.2%	0.110	69.3%	58.61%	30.2%	12.5%	57.2%	[1-0.43 0]
22	H	(3)	459.86	0.081	72.0%	0.010	72.0%	215.4	15.9%	0.104	70.2%	58.61%	29.1%	12.5%	58.4%	[1-0.43 0]
23	H	(3)	479.59	0.078	73.0%	0.010	73.0%	219.6	15.7%	0.099	71.3%	58.61%	27.8%	12.5%	59.7%	[1-0.43 0]
24	H	(3)	500.46	0.076	74.2%	0.011	74.2%	223.9	15.5%	0.094	72.6%	58.61%	26.6%	12.5%	60.9%	[1-0.43 0]
25	H	(3)	520.16	0.077	69.0%	0.011	69.0%	218.6	15.1%	0.098	67.3%	55.79%	26.5%	13.9%	59.6%	[1-0.43 0]
26	H	(3)	539.85	0.075	66.3%	0.011	66.3%	210.7	14.7%	0.099	64.7%	53.63%	28.2%	14.2%	57.6%	[1-0.43 0]
27	H	(3)	560.70	0.071	63.9%	0.011	63.9%	197.0	14.6%	0.099	62.3%	52.75%	29.4%	16.8%	53.8%	[1-0.43 0]
28	H	(3)	580.39	0.070	58.9%	0.011	58.9%	185.6	14.0%	0.105	57.2%	50.58%	27.6%	21.6%	50.8%	[1-0.43 0]
29	H	(3)	600.08	0.068	56.4%	0.011	56.4%	174.3	13.1%	0.108	54.9%	49.29%	26.2%	26.1%	47.8%	[1-0.43 0]
30	H	(3)	619.78	0.069	52.4%	0.012	52.4%	167.6	12.3%	0.115	50.9%	46.71%	25.1%	29.1%	45.8%	[1-0.43 0]
31	H	(3)	640.64	0.066	52.6%	0.012	52.6%	164.6	11.8%	0.112	51.3%	46.06%	21.6%	33.3%	45.1%	[1-0.43 0]
32	H	(3)	660.35	0.073	48.9%	0.013	48.9%	166.5	11.0%	0.121	47.7%	43.62%	19.0%	35.2%	45.8%	[1-0.43 0]
33	H	(3)	680.06	0.077	46.0%	0.014	46.0%	165.6	10.4%	0.128	44.8%	42.09%	19.1%	35.3%	45.6%	[1-0.43 0]
34	H	(3)	700.91	0.074	47.3%	0.014	47.3%	165.0	10.1%	0.124	46.2%	42.09%	19.1%	35.5%	45.4%	[1-0.43 0]
35	H	(3)	720.59	0.073	47.8%	0.015	47.8%	165.5	9.8%	0.122	46.8%	41.75%	18.6%	35.7%	45.6%	[1-0.43 0]
36	H	(3)	740.29	0.071	48.6%	0.015	48.6%	165.3	9.6%	0.119	47.6%	41.75%	18.6%	35.8%	45.5%	[1-0.43 0]
37	H	(3)	760.00	0.068	46.9%	0.014	46.9%	156.7	9.4%	0.120	45.9%	40.97%	19.9%	37.1%	42.9%	[1-0.43 0]
38	H	(3)	780.87	0.065	45.1%	0.014	45.1%	147.2	9.8%	0.123	44.1%	39.84%	23.4%	36.2%	40.4%	[1-0.43 0]
39	H	(3)	800.56	0.061	44.9%	0.014	44.9%	139.2	10.0%	0.121	43.7%	39.84%	26.9%	35.3%	37.8%	[1-0.43 0]
40	H	(3)	820.26	0.058	43.7%	0.013	43.7%	130.0	11.1%	0.123	42.2%	39.12%	29.7%	36.1%	34.1%	[1-0.43 0]
41	H	(3)	841.11	0.052	42.8%	0.012	42.8%	115.0	11.4%	0.126	41.3%	38.47%	35.1%	35.0%	29.8%	[1-0.43 0]
42	H	(3)	860.81	0.051	41.4%	0.012	41.4%	107.8	12.3%	0.132	39.6%	37.54%	40.1%	32.4%	27.5%	[1-0.43 0]
43	H	(3)	880.51	0.048	42.3%	0.012	42.3%	103.8	13.3%	0.129	40.1%	37.54%	42.5%	31.8%	25.7%	[1-0.43 0]
44	H	(3)	900.20	0.043	43.4%	0.011	43.4%	93.8	15.1%	0.128	40.6%	37.37%	46.2%	31.0%	22.8%	[1-0.43 0]
45	H	(3)	921.07	0.040	43.9%	0.010	43.9%	87.5	15.1%	0.126	41.2%	37.37%	49.9%	28.5%	21.6%	[1-0.43 0]
46	H	(3)	940.78	0.039	44.2%	0.010	44.2%	87.2	16.6%	0.124	40.9%	37.09%	50.8%	28.2%	21.0%	[1-0.43 0]
47	H	(3)	960.46	0.038	44.5%	0.010	44.5%	87.6	17.1%	0.122	41.1%	37.09%	50.9%	28.1%	21.0%	[1-0.43 0]
48	H	(3)	981.33	0.038	43.1%	0.010	43.1%	85.5	16.7%	0.123	39.7%	36.44%	50.6%	29.0%	20.4%	[1-0.43 0]
49	H	(3)	1001.04	0.038	41.7%	0.010	41.7%	86.2	14.7%	0.121	39.0%	36.03%	48.7%	30.4%	20.9%	[1-0.43 0]
50	H	(3)	1020.72	0.034	41.4%	0.010	41.4%	81.0	13.6%	0.117	39.1%	36.03%	47.2%	32.9%	19.8%	[1-0.43 0]
51	H	(3)	1040.43	0.033	40.7%	0.010	40.7%	80.1	12.7%	0.116	38.6%	35.69%	45.9%	34.0%	20.1%	[1-0.43 0]
52	H	(3)	1061.30	0.032	39.1%	0.009	39.1%	76.8	11.1%	0.116	37.5%	35.19%	43.4%	37.0%	19.6%	[1-0.43 0]
53	H	(3)	1081.01	0.031	39.0%	0.009	39.0%	75.0	10.0%	0.113	37.7%	35.19%	41.7%	38.7%	19.6%	[1-0.43 0]
54	H	(3)	1100.71	0.032	38.0%	0.010	38.0%	76.9	10.6%	0.117	36.5%	34.68%	41.8%	37.9%	20.3%	[1-0.43 0]
55	H	(3)	1120.42	0.036	38.2%	0.011	38.2%	84.6	10.5%	0.117	36.7%	34.68%	43.8%	34.0%	22.3%	[1-0.43 0]
56	H	(3)	1141.29	0.037	38.2%	0.012	38.2%	87.8	9.6%	0.116	36.9%	34.68%	45.6%	31.1%	23.3%	[1-0.43 0]
57	H	(3)	1161.02	0.037	38.3%	0.012	38.3%	88.5	10.4%	0.117	36.8%	34.53%	48.4%	27.9%	23.7%	[1-0.43 0]
58	H	(3)	1180.72	0.037	38.4%	0.012	38.4%	88.4	10.5%	0.116	36.9%	34.53%	49.9%	26.3%	23.7%	[1-0.43 0]
59	H	(3)	1201.59	0.045	34.0%	0.015	34.0%	93.5	9.7%	0.134	32.6%	32.47%	52.9%	22.1%	25.0%	[1-0.43 0]
60	H	(3)	1221.28	0.049	32.2%	0.017	32.2%	93.8	9.3%	0.144	30.8%	31.32%	54.0%	20.8%	25.2%	[1-0.43 0]
61	H	(3)	1240.99	0.059	28.9%	0.020	28.9%	98.7	8.7%	0.165	27.5%	29.14%	52.3%	21.3%	26.4%	[1-0.43 0]
62	H	(3)	1260.68	0.069	26.6%	0.024	26.6%	103.7	7.8%	0.184	25.4%	27.40%	49.4%	23.0%	27.6%	[1-0.43 0]
63	H	(3)	1281.54	0.076	25.5%	0.027	25.5%	105.8	7.2%	0.200	24.5%	26.24%	50.0%	21.9%	28.1%	[1-0.43 0]
64	H	(3)	1301.22	0.080	23.8%	0.029	23.8%	100.5	6.8%	0.220	22.8%	24.69%	47.3%	26.1%	26.6%	[1-0.43 0]
65	H	(3)	1320.92	0.087	22.0%	0.032	22.0%	98.3	6.7%	0.245	21.0%	23.00%	43.8%	30.3%	25.9%	[1-0.43 0]
66	H	(3)	1341.77	0.077	21.7%	0.029	21.7%	83.9	6.5%	0.256	20.7%	22.35%	46.1%	32.0%	22.0%	[1-0.43 0]
67	H	(3)	1361.47	0.073	21.3%	0.028	21.3%	74.5	6.7%	0.274	20.3%	21.56%	50.0%	30.8%	19.3%	[1-0.43 0]
68	H	(3)	1381.18	0.078	22.8%	0.030	22.8%	72.5	11.9%	0.298	19.4%	20.64%	50.4%	30.8%	18.9%	[1-1.00 0]
69	H	(3)	1400.89	0.090	23.0%	0.035	23.0%	78.5	12.3%	0.320	19.5%	19.85%	50.2%	29.2%	20.6%	[1-1.00 1]
70	H	(3)	1421.77	0.088	23.0%	0.035	23.0%	72.2	13.1%	0.337	18.9%	19.26%	52.1%	29.1%	18.8%	[1-1.00 1]
71	H	(3)	1441.48	0.095	22.7%	0.038	22.7%	74.4	12.9%	0.355	18.7%	18.79%	52.8%	27.9%	19.2%	[1-1.00 1]
72	H	(3)	1461.19	0.100	22.0%	0.041	22.0%	73.8	12.4%	0.378	18.2%	18.23%	54.8%	26.2%	19.0%	[1-1.00 1]
73	H	(3)	1480.88	0.102	19.1%	0.042	19.1%	70.6	7.2%	0.400	17.7%	17.71%	57.3%	24.8%	17.9%	[1-1.00 1]
74	H	(3)	1501.74	0.086	17.9%	0.036	17.9%	57.4	6.3%	0.414	16.8%	17.38%	60.0%	26.0%	14.0%	[1-1.00 1]
75	H	(3)	1521.44	0.082	17.7%	0.035	17.7%	53.4	6.0%	0.426	16.7%	17.13%	62.3%	24.8%	12.9%	[1-1.00 1]
76	H	(3)	1541.14	0.075	17.6%	0.032	17.6%	48.4	5.8%	0.431	16.6%	16.90%	63.2%	25.5%	11.3%	[1-1.00 1]
77	H	(3)	1562.01	0.076	17.5%	0.033	17.5%	48.7	6.3%	0.436	16.4%	16.67%	62.1%	26.7%	11.3%	[1-1.00 1]
78	H	(3)	1581.70	0.072	17.9%	0.032	17.9%	45.7	7.7%	0.439	16.2%	16.34%	62.1%	27.7%	10.3%	[1-1.00 1]
79	H	(3)	1601.40	0.071	17.9%	0.032	17.9%	44.6	7.9%	0.444	16.0%	16.09%	62.1%	27.9%	10.0%	[1-1.00 1]
80	H	(3)	1621.09	0.083	17.5%	0.038	17.5%	50.0	8.1%	0.463	15.5%	15.64%	61.2%	27.3%	11.5%	[1-1.00 1]
