[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.62	0.473	87.3%	0.003	87.3%	97.2	26.1%	1.352	83.3%	74.12%	3.3%	59.4%	37.3%	[1-1.00 0]
1	H	(3)	39.29	0.589	71.6%	0.006	71.6%	110.7	17.9%	1.478	69.3%	47.98%	16.1%	48.0%	35.9%	[1-1.00 0]
2	H	(3)	58.99	0.610	65.8%	0.010	65.8%	117.5	14.8%	1.442	64.1%	40.81%	20.5%	43.5%	36.0%	[1-1.00 0]
3	H	(3)	79.84	0.535	62.7%	0.012	62.7%	108.3	13.5%	1.370	61.3%	36.50%	27.1%	40.7%	32.2%	[1-1.00 0]
4	H	(3)	99.53	0.512	56.8%	0.014	56.8%	100.8	12.8%	1.410	55.3%	33.08%	33.1%	37.7%	29.2%	[1-1.00 0]
5	H	(3)	119.22	0.520	43.8%	0.017	43.8%	95.2	9.3%	1.518	42.8%	30.55%	43.1%	31.7%	25.2%	[1-1.00 0]
6	H	(3)	140.10	0.541	33.5%	0.021	33.5%	88.0	8.1%	1.707	32.5%	26.67%	45.8%	31.3%	22.9%	[1-1.00 0]
7	H	(3)	159.81	0.477	30.6%	0.021	30.6%	80.1	7.1%	1.654	29.8%	25.31%	48.8%	30.8%	20.4%	[1-1.00 0]
8	H	(3)	179.51	0.448	30.3%	0.022	30.3%	80.5	7.3%	1.547	29.4%	24.69%	49.8%	29.7%	20.5%	[1-1.00 0]
9	H	(3)	199.20	0.445	28.3%	0.025	28.3%	79.5	7.2%	1.553	27.3%	23.42%	50.4%	29.3%	20.4%	[1-1.00 0]
10	H	(3)	220.06	0.441	27.2%	0.027	27.2%	80.2	7.3%	1.529	26.2%	22.47%	50.9%	28.6%	20.6%	[1-1.00 0]
11	H	(3)	239.76	0.455	25.1%	0.030	25.1%	79.0	7.7%	1.601	23.9%	21.15%	53.4%	26.3%	20.3%	[1-1.00 0]
12	H	(3)	259.46	0.463	23.5%	0.033	23.5%	77.2	7.8%	1.667	22.2%	20.22%	56.0%	24.2%	19.8%	[1-1.00 0]
13	H	(3)	280.31	0.432	23.1%	0.034	23.1%	74.1	7.3%	1.619	22.0%	19.84%	57.4%	23.7%	18.9%	[1-1.00 0]
14	H	(3)	300.00	0.460	21.6%	0.038	21.6%	76.5	7.2%	1.669	20.4%	18.79%	56.3%	24.1%	19.6%	[1-1.00 0]
15	H	(3)	319.72	0.455	21.5%	0.040	21.5%	77.1	7.9%	1.638	20.1%	18.38%	56.3%	24.0%	19.7%	[1-1.00 0]
16	H	(3)	339.42	0.434	20.7%	0.041	20.7%	72.8	8.1%	1.656	19.1%	17.69%	56.6%	24.8%	18.6%	[1-1.00 0]
17	H	(3)	360.26	0.398	19.9%	0.040	19.9%	66.0	8.3%	1.677	18.1%	17.02%	57.3%	26.0%	16.7%	[1-1.00 0]
18	H	(3)	379.95	0.387	19.5%	0.041	19.5%	65.6	8.1%	1.640	17.7%	16.55%	55.8%	27.5%	16.7%	[1-1.00 0]
19	H	(3)	399.66	0.371	19.0%	0.041	19.0%	63.1	7.8%	1.636	17.3%	16.06%	56.8%	27.2%	16.0%	[1-0.75 2]
20	H	(3)	420.53	0.363	18.5%	0.042	18.5%	63.7	6.2%	1.581	17.4%	15.95%	57.0%	26.7%	16.2%	[1-0.83 2]
21	H	(3)	440.23	0.368	18.0%	0.045	18.0%	64.7	5.4%	1.581	17.2%	15.75%	58.1%	25.6%	16.3%	[1-1.00 2]
22	H	(3)	459.95	0.393	17.6%	0.050	17.6%	68.3	5.8%	1.601	16.6%	15.32%	57.9%	24.7%	17.4%	[1-0.94 2]
23	H	(3)	479.66	0.414	16.6%	0.055	16.6%	68.1	5.7%	1.689	15.6%	14.75%	59.7%	23.1%	17.3%	[1-0.92 2]
24	H	(3)	500.50	0.414	16.5%	0.058	16.5%	68.0	6.2%	1.693	15.3%	14.39%	60.4%	22.4%	17.1%	[1-0.43 0]
25	H	(3)	520.18	0.382	16.3%	0.055	16.3%	60.9	6.7%	1.744	14.9%	14.05%	62.9%	21.8%	15.3%	[1-0.79 2]
26	H	(3)	539.87	0.360	16.7%	0.054	16.7%	57.0	7.1%	1.755	15.1%	13.84%	64.9%	20.8%	14.3%	[1-0.90 2]
27	H	(3)	560.71	0.325	16.5%	0.051	16.5%	51.9	6.4%	1.737	15.2%	13.65%	66.6%	20.7%	12.7%	[1-0.89 2]
28	H	(3)	580.40	0.315	16.7%	0.051	16.7%	49.9	7.2%	1.752	15.1%	13.41%	68.3%	19.5%	12.2%	[1-0.92 2]
29	H	(3)	600.11	0.292	16.7%	0.049	16.7%	46.2	6.7%	1.756	15.3%	13.27%	70.4%	18.6%	11.0%	[1-0.99 2]
30	H	(3)	619.82	0.299	16.6%	0.052	16.6%	47.2	7.3%	1.761	14.9%	12.99%	70.3%	18.5%	11.1%	[1-0.85 0]
31	H	(3)	640.68	0.304	16.0%	0.054	16.0%	47.8	7.4%	1.767	14.2%	12.80%	70.3%	18.6%	11.1%	[1-0.93 0]
32	H	(3)	660.39	0.304	15.8%	0.056	15.8%	47.9	7.4%	1.761	14.0%	12.69%	70.8%	18.0%	11.1%	[1-0.96 2]
33	H	(3)	680.09	0.290	15.6%	0.055	15.6%	46.1	7.1%	1.751	13.8%	12.53%	71.4%	18.0%	10.6%	[1-0.96 2]
34	H	(3)	699.80	0.271	15.9%	0.053	15.9%	44.2	7.9%	1.707	13.8%	12.47%	71.0%	18.8%	10.2%	[1-0.95 2]
35	H	(3)	720.66	0.273	16.1%	0.055	16.1%	44.9	8.0%	1.688	14.0%	12.35%	69.9%	19.5%	10.6%	[1-0.91 0]
36	H	(3)	740.35	0.262	16.4%	0.054	16.4%	43.5	8.4%	1.672	14.1%	12.21%	69.2%	20.5%	10.3%	[1-0.89 2]
37	H	(3)	760.05	0.259	16.9%	0.055	16.9%	43.1	9.1%	1.672	14.2%	12.01%	68.4%	21.5%	10.1%	[1-0.92 2]
38	H	(3)	780.90	0.263	18.3%	0.057	18.3%	44.5	10.6%	1.640	14.9%	11.81%	66.3%	23.2%	10.5%	[1-0.64 2]
39	H	(3)	800.60	0.280	18.3%	0.062	18.3%	48.3	9.9%	1.607	15.4%	11.62%	63.1%	25.3%	11.6%	[1-0.46 2]
40	H	(3)	821.45	0.265	19.4%	0.061	19.4%	46.3	11.7%	1.591	15.5%	11.54%	62.4%	26.6%	11.1%	[1-0.61 2]
41	H	(3)	839.98	0.241	19.6%	0.056	19.6%	44.2	11.2%	1.519	16.0%	11.37%	59.6%	29.9%	10.5%	[1-0.00 2]
42	H	(3)	860.85	0.216	19.1%	0.052	19.1%	40.4	10.8%	1.486	15.8%	11.23%	56.4%	34.1%	9.5%	[1-0.00 2]
43	H	(3)	880.54	0.179	17.3%	0.044	17.3%	33.5	9.3%	1.487	14.6%	10.97%	54.0%	38.4%	7.5%	[1-0.16 2]
44	H	(3)	900.25	0.136	17.3%	0.034	17.3%	26.4	9.5%	1.433	14.4%	10.92%	53.0%	41.6%	5.4%	[1-0.00 2]
45	H	(3)	919.97	0.114	14.7%	0.029	14.7%	22.3	4.7%	1.414	13.9%	10.82%	51.4%	44.5%	4.1%	[1-0.15 2]
46	H	(3)	942.06	0.109	13.9%	0.029	13.9%	21.0	4.2%	1.450	13.3%	10.69%	52.1%	44.3%	3.6%	[1-0.61 2]
47	H	(3)	960.60	0.107	13.9%	0.029	13.9%	20.5	4.6%	1.450	13.1%	10.60%	53.7%	42.8%	3.4%	[1-0.43 2]
48	H	(3)	980.30	0.108	14.1%	0.029	14.1%	20.5	4.9%	1.463	13.3%	10.51%	55.6%	41.1%	3.3%	[1-0.43 0]
49	H	(6)	1000.01	0.105	14.1%	0.029	14.1%	19.9	5.0%	1.469	13.2%	10.46%	57.6%	39.4%	3.1%	[1-0.43 0]
50	H	(6)	1022.29	0.101	14.1%	0.029	14.1%	18.9	4.8%	1.486	13.3%	10.32%	59.4%	37.9%	2.7%	[1-0.43 2]
