[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.73	0.526	100.0%	0.003	100.0%	199.5	29.2%	0.733	100.0%	100.00%	32.8%	12.9%	54.3%	[1-1.00 0]
1	H	(3)	39.43	0.265	100.0%	0.003	100.0%	201.5	42.7%	0.366	100.0%	100.00%	32.3%	12.8%	55.0%	[1-1.00 0]
2	H	(3)	59.11	0.189	100.0%	0.003	100.0%	199.9	51.1%	0.263	100.0%	100.00%	32.3%	13.1%	54.7%	[1-1.00 0]
3	H	(3)	79.97	0.140	100.0%	0.003	100.0%	188.8	50.3%	0.206	100.0%	100.00%	29.6%	18.7%	51.7%	[1-1.00 0]
4	H	(3)	99.68	0.115	100.0%	0.003	100.0%	179.7	46.1%	0.177	100.0%	92.96%	33.0%	17.9%	49.1%	[1-1.00 0]
5	H	(3)	119.38	0.091	100.0%	0.003	100.0%	166.4	46.5%	0.151	100.0%	92.96%	36.3%	18.2%	45.6%	[1-1.00 0]
6	H	(3)	139.08	0.099	100.0%	0.004	100.0%	158.0	38.7%	0.174	100.0%	81.03%	36.4%	20.4%	43.2%	[1-1.00 0]
7	H	(3)	159.96	0.082	100.0%	0.004	100.0%	149.3	27.1%	0.152	100.0%	79.74%	36.0%	23.4%	40.5%	[1-1.00 0]
8	H	(3)	180.82	0.072	100.0%	0.004	100.0%	147.7	21.5%	0.136	100.0%	78.86%	37.4%	22.6%	39.9%	[1-1.00 0]
9	H	(3)	200.53	0.066	98.2%	0.004	98.2%	129.8	20.8%	0.141	95.9%	73.33%	29.1%	35.1%	35.8%	[1-1.00 0]
10	H	(3)	219.07	0.088	73.7%	0.005	73.7%	136.8	18.9%	0.179	71.3%	60.12%	23.5%	38.9%	37.6%	[1-1.00 0]
11	H	(3)	239.97	0.072	68.8%	0.005	68.8%	113.5	18.3%	0.175	66.3%	57.45%	19.3%	48.7%	32.0%	[1-1.00 0]
12	H	(3)	259.68	0.070	64.0%	0.005	64.0%	108.4	17.2%	0.178	61.6%	54.88%	16.3%	51.5%	32.2%	[1-1.00 0]
13	H	(3)	279.38	0.060	66.6%	0.005	66.6%	103.3	16.0%	0.161	64.7%	54.88%	13.9%	53.6%	32.5%	[1-1.00 0]
14	H	(3)	300.26	0.077	64.5%	0.006	64.5%	125.8	15.3%	0.169	62.7%	51.43%	16.8%	45.6%	37.6%	[1-1.00 0]
15	H	(3)	319.95	0.080	61.2%	0.007	61.2%	130.6	14.8%	0.169	59.4%	50.14%	17.6%	43.6%	38.8%	[1-1.00 0]
16	H	(3)	339.67	0.094	62.2%	0.009	62.2%	158.6	14.5%	0.164	60.5%	50.14%	20.0%	34.1%	45.9%	[1-1.00 0]
17	H	(3)	359.36	0.095	62.7%	0.010	62.7%	168.8	14.2%	0.157	61.1%	50.14%	21.6%	30.5%	47.9%	[1-1.00 0]
18	H	(3)	380.21	0.108	61.5%	0.011	61.5%	186.6	13.6%	0.161	60.0%	49.26%	23.9%	25.1%	51.0%	[1-1.00 0]
19	H	(3)	399.92	0.108	62.1%	0.012	62.1%	195.3	13.3%	0.154	60.7%	49.26%	25.5%	20.7%	53.8%	[1-1.00 0]
20	H	(3)	419.64	0.118	56.4%	0.014	56.4%	197.4	12.9%	0.165	54.9%	47.09%	26.0%	19.5%	54.5%	[1-1.00 0]
