[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	59.04	0.194	100.0%	0.003	100.0%	203.7	76.8%	0.264	100.0%	100.00%	32.2%	12.7%	55.1%	[1-0.02 0]
1	H	(3)	79.89	0.163	100.0%	0.004	100.0%	202.9	73.9%	0.223	100.0%	100.00%	33.5%	11.5%	55.1%	[1-0.02 0]
2	H	(3)	99.60	0.168	100.0%	0.005	100.0%	204.5	72.7%	0.228	100.0%	95.12%	33.0%	11.5%	55.5%	[1-0.02 0]
3	H	(3)	119.30	0.140	100.0%	0.005	100.0%	204.7	75.3%	0.190	100.0%	95.12%	32.7%	11.7%	55.6%	[1-0.02 0]
4	H	(3)	139.03	0.153	100.0%	0.006	100.0%	216.4	74.0%	0.196	100.0%	90.24%	29.4%	11.8%	58.8%	[1-0.02 0]
5	H	(3)	159.92	0.142	100.0%	0.006	100.0%	227.8	74.9%	0.173	100.0%	90.24%	26.2%	11.8%	62.0%	[1-0.02 0]
6	H	(3)	179.62	0.106	100.0%	0.005	100.0%	234.1	76.0%	0.126	100.0%	85.36%	24.0%	12.2%	63.8%	[1-0.02 0]
7	H	(3)	199.31	0.097	100.0%	0.005	100.0%	239.8	78.7%	0.112	100.0%	85.36%	22.2%	12.5%	65.3%	[1-0.02 0]
8	H	(3)	219.02	0.089	100.0%	0.005	100.0%	245.7	80.9%	0.100	100.0%	85.36%	20.6%	12.5%	66.9%	[1-0.02 0]
9	H	(3)	239.88	0.080	100.0%	0.005	100.0%	240.0	87.5%	0.093	100.0%	85.36%	22.2%	12.5%	65.4%	[1-0.02 0]
10	H	(3)	259.57	0.082	100.0%	0.006	100.0%	224.4	88.0%	0.101	100.0%	81.03%	26.3%	12.7%	61.0%	[1-0.02 0]
11	H	(3)	279.25	0.078	100.0%	0.006	100.0%	210.8	90.4%	0.103	100.0%	79.74%	29.4%	12.9%	57.7%	[1-0.02 0]
12	H	(3)	300.11	0.076	100.0%	0.006	100.0%	209.0	95.3%	0.101	100.0%	77.58%	29.4%	13.3%	57.3%	[1-0.02 0]
13	H	(3)	319.81	0.070	100.0%	0.006	100.0%	207.1	100.0%	0.094	100.0%	77.58%	29.1%	14.0%	56.9%	[1-0.02 0]
14	H	(3)	341.81	0.049	100.0%	0.005	100.0%	178.3	91.2%	0.077	100.0%	76.29%	31.2%	19.2%	49.6%	[1-0.02 0]
15	H	(3)	361.52	0.040	100.0%	0.004	100.0%	157.9	86.5%	0.070	100.0%	76.29%	31.1%	24.4%	44.5%	[1-0.02 0]
16	H	(3)	380.05	0.039	100.0%	0.004	100.0%	143.2	77.5%	0.076	100.0%	71.41%	31.3%	28.1%	40.6%	[1-0.02 0]
17	H	(3)	399.77	0.032	100.0%	0.004	100.0%	120.5	55.2%	0.074	100.0%	71.41%	33.8%	31.5%	34.7%	[1-0.02 0]
18	H	(3)	419.47	0.027	88.4%	0.003	88.4%	99.1	18.7%	0.074	86.4%	70.12%	38.8%	32.1%	29.1%	[1-0.02 0]
19	H	(3)	440.33	0.028	89.5%	0.003	89.5%	105.7	18.4%	0.072	87.6%	70.12%	41.4%	28.1%	30.5%	[1-0.02 0]
20	H	(3)	460.06	0.028	90.3%	0.004	90.3%	109.2	18.3%	0.071	88.5%	70.12%	43.6%	24.9%	31.5%	[1-0.02 0]
21	H	(3)	479.77	0.032	76.3%	0.004	76.3%	107.9	18.0%	0.083	74.2%	65.24%	46.2%	23.3%	30.5%	[1-0.02 0]
22	H	(3)	499.46	0.027	74.1%	0.004	74.1%	92.0	17.4%	0.082	72.0%	64.36%	49.2%	25.2%	25.6%	[1-0.02 0]
23	H	(3)	520.32	0.021	73.3%	0.003	73.3%	75.3	16.6%	0.078	71.4%	64.36%	49.6%	29.9%	20.5%	[1-0.02 0]
24	H	(3)	540.02	0.016	72.3%	0.002	72.3%	58.7	15.5%	0.074	70.6%	64.36%	49.9%	34.6%	15.6%	[1-0.02 0]
25	H	(3)	559.73	0.015	69.2%	0.002	69.2%	55.9	15.1%	0.075	67.5%	62.19%	49.5%	36.2%	14.3%	[1-0.02 0]
26	H	(3)	579.43	0.013	66.3%	0.002	66.3%	49.2	13.8%	0.076	64.9%	60.67%	49.7%	37.9%	12.4%	[1-0.02 0]
27	H	(3)	600.28	0.014	67.4%	0.002	67.4%	52.5	14.0%	0.074	66.0%	60.67%	50.5%	36.2%	13.2%	[1-0.02 0]
28	H	(3)	621.15	0.014	67.8%	0.002	67.8%	54.9	14.3%	0.073	66.3%	60.16%	49.9%	36.3%	13.8%	[1-0.02 0]
29	H	(3)	639.68	0.015	69.0%	0.003	69.0%	59.6	14.5%	0.071	67.5%	60.16%	49.4%	35.6%	15.0%	[1-0.02 0]
30	H	(3)	660.55	0.019	54.2%	0.003	54.2%	57.7	12.8%	0.091	52.7%	52.47%	49.5%	36.0%	14.5%	[1-0.02 0]
31	H	(3)	680.25	0.021	55.2%	0.004	55.2%	64.5	12.9%	0.089	53.6%	52.47%	49.1%	34.4%	16.5%	[1-0.02 0]
32	H	(3)	699.97	0.025	55.6%	0.005	55.6%	74.4	12.7%	0.092	54.1%	51.96%	51.0%	29.6%	19.3%	[1-0.02 0]
33	H	(3)	719.68	0.029	56.6%	0.006	56.6%	84.4	12.6%	0.094	55.2%	51.96%	54.7%	23.1%	22.3%	[1-0.02 0]
34	H	(3)	740.54	0.032	55.6%	0.007	55.6%	90.1	12.3%	0.097	54.2%	50.67%	56.8%	19.2%	23.9%	[1-0.02 0]
35	H	(3)	760.27	0.033	56.0%	0.007	56.0%	93.7	12.6%	0.097	54.6%	50.67%	59.0%	16.2%	24.9%	[1-0.02 0]
36	H	(3)	779.96	0.033	51.8%	0.007	51.8%	89.3	12.3%	0.103	50.4%	48.50%	59.0%	17.5%	23.5%	[1-0.02 0]
37	H	(3)	800.81	0.029	52.1%	0.007	52.1%	83.3	12.0%	0.098	50.7%	48.50%	57.1%	21.1%	21.8%	[1-0.02 0]
38	H	(3)	820.50	0.028	50.2%	0.006	50.2%	81.8	11.7%	0.096	48.8%	47.62%	52.7%	25.8%	21.4%	[1-0.02 0]
39	H	(3)	840.20	0.028	49.4%	0.007	49.4%	82.2	11.4%	0.095	48.0%	46.97%	49.4%	29.0%	21.6%	[1-0.02 0]
40	H	(3)	859.90	0.028	50.0%	0.007	50.0%	84.9	10.8%	0.090	48.9%	46.97%	45.7%	32.0%	22.3%	[1-0.02 0]
41	H	(3)	880.78	0.029	50.8%	0.007	50.8%	92.0	10.9%	0.087	49.6%	46.97%	43.2%	32.4%	24.4%	[1-0.02 0]
42	H	(3)	900.47	0.032	50.4%	0.008	50.4%	103.1	11.0%	0.087	49.2%	45.82%	38.5%	33.9%	27.6%	[1-0.02 0]
43	H	(3)	920.16	0.033	51.6%	0.009	51.6%	110.0	11.0%	0.084	50.4%	45.82%	36.0%	34.2%	29.7%	[1-0.02 0]
44	H	(3)	941.03	0.032	50.7%	0.008	50.7%	106.6	10.9%	0.084	49.5%	45.32%	37.2%	34.2%	28.6%	[1-0.02 0]
45	H	(3)	960.72	0.033	51.4%	0.009	51.4%	110.3	11.0%	0.083	50.2%	44.91%	35.5%	34.7%	29.9%	[1-0.02 0]
46	H	(3)	980.39	0.034	52.6%	0.009	52.6%	115.5	11.1%	0.081	51.4%	44.91%	33.5%	35.1%	31.4%	[1-0.02 0]
47	H	(3)	1000.08	0.033	52.9%	0.009	52.9%	115.5	11.0%	0.079	51.7%	44.91%	33.5%	35.2%	31.3%	[1-0.02 0]
48	H	(3)	1020.96	0.032	53.2%	0.009	53.2%	115.9	11.0%	0.077	52.0%	44.91%	33.5%	35.0%	31.4%	[1-0.02 0]
49	H	(3)	1040.66	0.034	54.5%	0.010	54.5%	125.2	11.1%	0.075	53.3%	44.91%	30.4%	35.4%	34.2%	[1-0.02 0]
50	H	(3)	1060.37	0.032	52.6%	0.009	52.6%	115.6	11.1%	0.077	51.4%	44.50%	34.9%	33.7%	31.4%	[1-0.02 0]
51	H	(3)	1081.23	0.029	51.5%	0.009	51.5%	103.9	11.1%	0.077	50.3%	44.50%	39.3%	32.7%	28.0%	[1-0.02 0]
52	H	(3)	1100.94	0.026	50.6%	0.008	50.6%	94.3	11.1%	0.077	49.3%	44.50%	43.6%	31.1%	25.3%	[1-0.02 0]
53	H	(3)	1120.65	0.026	50.4%	0.008	50.4%	93.8	11.3%	0.078	49.1%	44.10%	43.6%	31.2%	25.2%	[1-0.02 0]
54	H	(3)	1140.37	0.026	51.1%	0.008	51.1%	93.6	11.4%	0.076	49.8%	44.10%	43.8%	31.1%	25.1%	[1-0.02 0]
55	H	(3)	1161.24	0.028	52.4%	0.009	52.4%	103.1	11.6%	0.074	51.1%	43.76%	39.5%	32.5%	28.0%	[1-0.02 0]
56	H	(3)	1180.96	0.029	54.7%	0.010	54.7%	113.8	11.8%	0.071	53.4%	43.76%	35.0%	33.9%	31.1%	[1-0.02 0]
57	H	(3)	1201.84	0.030	57.2%	0.010	57.2%	123.6	11.9%	0.068	56.0%	43.76%	30.6%	35.5%	33.9%	[1-0.02 0]
58	H	(3)	1221.55	0.030	57.0%	0.010	57.0%	122.9	11.8%	0.067	55.7%	43.76%	31.1%	35.2%	33.7%	[1-0.02 0]
59	H	(3)	1241.25	0.031	54.0%	0.011	54.0%	123.3	11.7%	0.069	52.7%	42.88%	31.1%	35.1%	33.8%	[1-0.02 0]
60	H	(3)	1260.95	0.030	53.1%	0.011	53.1%	123.2	11.4%	0.069	51.9%	42.88%	31.4%	34.9%	33.6%	[1-0.02 0]
61	H	(3)	1280.63	0.034	46.8%	0.012	46.8%	124.5	10.9%	0.076	45.5%	40.72%	31.1%	34.7%	34.1%	[1-0.02 0]
62	H	(3)	1301.50	0.034	46.4%	0.012	46.4%	125.7	10.4%	0.075	45.3%	40.72%	30.8%	34.6%	34.6%	[1-0.02 0]
63	H	(3)	1321.20	0.032	45.0%	0.012	45.0%	119.6	10.0%	0.075	43.9%	40.31%	33.3%	34.0%	32.7%	[1-0.02 0]
64	H	(3)	1340.92	0.029	43.4%	0.011	43.4%	104.3	9.6%	0.076	42.3%	39.64%	36.2%	35.6%	28.3%	[1-0.02 0]
65	H	(3)	1360.62	0.025	42.2%	0.009	42.2%	89.9	9.6%	0.077	41.0%	39.01%	39.1%	36.8%	24.1%	[1-0.02 0]
66	H	(3)	1381.51	0.025	42.6%	0.010	42.6%	90.3	9.8%	0.078	41.5%	38.73%	39.5%	36.3%	24.1%	[1-0.02 0]
67	H	(3)	1401.21	0.020	41.9%	0.008	41.9%	73.1	10.1%	0.078	40.7%	38.44%	43.2%	37.8%	19.0%	[1-0.02 0]
68	H	(3)	1422.08	0.023	43.9%	0.009	43.9%	80.0	10.8%	0.078	42.6%	37.67%	39.9%	38.9%	21.1%	[1-0.02 0]
69	H	(3)	1440.62	0.023	44.9%	0.009	44.9%	77.4	11.1%	0.081	43.5%	37.21%	42.9%	36.9%	20.2%	[1-0.02 0]
70	H	(3)	1461.50	0.021	46.9%	0.009	46.9%	72.7	11.0%	0.081	45.5%	37.21%	45.9%	35.5%	18.6%	[1-0.02 0]
71	H	(3)	1481.21	0.015	48.1%	0.006	48.1%	51.9	11.3%	0.080	46.7%	37.21%	52.3%	35.3%	12.4%	[1-0.02 0]
72	H	(3)	1500.92	0.014	49.9%	0.006	49.9%	46.2	11.2%	0.081	48.6%	37.02%	57.0%	32.4%	10.6%	[1-0.02 0]
73	H	(3)	1520.61	0.007	50.4%	0.003	50.4%	24.6	10.7%	0.080	49.3%	37.02%	65.5%	30.5%	4.0%	[1-0.02 0]
74	H	(3)	1541.53	0.006	51.6%	0.003	51.6%	21.4	11.4%	0.079	50.3%	37.02%	67.6%	29.4%	3.0%	[1-0.02 0]
75	H	(3)	1561.25	0.006	52.5%	0.002	52.5%	20.0	11.6%	0.079	51.2%	37.02%	69.2%	28.2%	2.5%	[1-0.02 0]
76	H	(3)	1580.96	0.005	51.8%	0.002	51.8%	17.9	12.5%	0.080	50.3%	36.77%	71.2%	26.9%	1.9%	[1-0.02 0]
77	H	(3)	1601.85	0.008	49.9%	0.004	49.9%	28.1	12.4%	0.082	48.4%	36.39%	66.8%	28.1%	5.0%	[1-0.02 0]
78	H	(3)	1621.55	0.012	49.5%	0.005	49.5%	41.2	12.1%	0.081	48.0%	36.39%	62.0%	29.0%	9.1%	[1-0.02 0]
79	H	(3)	1641.24	0.016	46.6%	0.007	46.6%	52.5	11.1%	0.083	45.2%	35.74%	57.2%	30.3%	12.6%	[1-0.02 0]
