[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.59	0.480	100.0%	0.003	100.0%	168.4	27.8%	0.793	100.0%	95.12%	18.3%	35.5%	46.2%	[1-0.97 0]
1	H	(3)	39.29	0.323	100.0%	0.004	100.0%	169.4	30.7%	0.529	100.0%	88.07%	18.5%	34.9%	46.6%	[1-0.97 0]
2	H	(3)	60.15	0.206	100.0%	0.003	100.0%	156.5	28.1%	0.366	100.0%	77.58%	21.8%	35.1%	43.1%	[1-0.97 0]
3	H	(3)	79.82	0.271	100.0%	0.006	100.0%	160.0	25.2%	0.470	100.0%	62.60%	25.7%	29.8%	44.5%	[1-0.97 0]
4	H	(3)	99.51	0.255	100.0%	0.007	100.0%	168.7	22.9%	0.421	100.0%	59.79%	26.9%	26.4%	46.7%	[1-0.97 0]
5	H	(3)	119.21	0.281	92.2%	0.009	92.2%	162.6	20.2%	0.480	90.0%	51.83%	26.9%	27.3%	45.7%	[1-0.97 0]
6	H	(3)	140.07	0.265	65.0%	0.010	65.0%	152.9	16.2%	0.481	63.0%	46.89%	25.6%	29.1%	45.3%	[1-0.97 0]
7	H	(3)	159.78	0.231	59.9%	0.010	59.9%	142.5	14.6%	0.450	58.1%	45.04%	23.3%	33.6%	43.1%	[1-0.97 0]
8	H	(3)	179.48	0.168	58.5%	0.008	58.5%	119.9	13.6%	0.390	56.9%	44.80%	18.2%	45.1%	36.6%	[1-0.97 0]
9	H	(3)	199.18	0.131	49.8%	0.007	49.8%	91.2	12.8%	0.400	48.1%	40.97%	13.3%	56.6%	30.0%	[1-0.97 0]
10	H	(3)	220.05	0.098	50.0%	0.006	50.0%	75.8	13.2%	0.360	48.2%	40.73%	10.8%	63.2%	26.1%	[1-0.97 0]
11	H	(3)	239.76	0.079	48.5%	0.005	48.5%	64.4	12.3%	0.339	46.9%	40.18%	9.1%	69.3%	21.6%	[1-0.97 0]
12	H	(3)	259.48	0.087	46.2%	0.006	46.2%	71.1	13.3%	0.338	44.3%	38.65%	7.3%	67.7%	25.0%	[1-0.97 0]
13	H	(3)	279.19	0.120	43.0%	0.009	43.0%	94.3	12.2%	0.353	41.2%	36.98%	8.0%	59.8%	32.3%	[1-0.97 0]
14	H	(3)	300.04	0.147	42.5%	0.012	42.5%	119.7	11.5%	0.341	40.9%	36.73%	9.9%	51.5%	38.6%	[1-0.97 0]
15	H	(3)	319.74	0.179	40.7%	0.016	40.7%	142.8	11.4%	0.348	39.1%	35.79%	10.4%	42.4%	47.2%	[1-0.97 0]
16	H	(3)	339.44	0.184	39.6%	0.017	39.6%	145.7	11.4%	0.350	37.9%	34.42%	11.4%	39.4%	49.1%	[1-0.97 0]
17	H	(3)	360.29	0.203	39.2%	0.020	39.2%	163.4	10.8%	0.345	37.6%	33.48%	13.4%	34.5%	52.1%	[1-0.97 0]
18	H	(3)	379.99	0.211	37.5%	0.022	37.5%	165.1	11.7%	0.355	35.6%	31.92%	13.0%	33.9%	53.0%	[1-0.97 0]
19	H	(3)	399.68	0.203	35.8%	0.022	35.8%	153.8	12.0%	0.366	33.7%	30.73%	11.6%	36.8%	51.6%	[1-0.97 0]
20	H	(3)	419.37	0.182	36.2%	0.021	36.2%	144.5	12.3%	0.350	34.1%	30.73%	12.0%	39.7%	48.4%	[1-0.97 0]
21	H	(3)	440.24	0.207	35.0%	0.025	35.0%	162.1	12.3%	0.355	32.7%	29.81%	12.4%	34.9%	52.7%	[1-0.97 0]
22	H	(3)	459.92	0.190	34.7%	0.024	34.7%	152.4	12.3%	0.346	32.4%	29.50%	10.5%	37.2%	52.3%	[1-0.97 0]
23	H	(3)	479.61	0.163	34.1%	0.022	34.1%	134.9	11.5%	0.336	32.1%	29.30%	8.8%	42.4%	48.8%	[1-0.97 0]
24	H	(3)	500.46	0.157	32.5%	0.022	32.5%	126.1	11.6%	0.345	30.3%	28.15%	8.0%	46.1%	46.0%	[1-0.97 0]
25	H	(3)	520.18	0.139	32.4%	0.020	32.4%	116.3	10.6%	0.332	30.7%	28.15%	7.1%	50.3%	42.5%	[1-0.97 0]
26	H	(3)	539.88	0.113	31.9%	0.017	31.9%	96.0	10.1%	0.326	30.3%	27.65%	6.8%	56.3%	36.9%	[1-0.97 0]
27	H	(3)	559.57	0.104	30.5%	0.016	30.5%	86.0	10.5%	0.335	28.7%	26.49%	8.7%	58.3%	33.0%	[1-0.97 0]
28	H	(3)	580.44	0.110	28.7%	0.018	28.7%	87.7	10.1%	0.348	26.9%	25.66%	9.9%	58.6%	31.5%	[1-0.97 0]
29	H	(3)	600.14	0.113	27.4%	0.019	27.4%	87.7	9.2%	0.357	25.8%	25.04%	10.7%	58.1%	31.2%	[1-0.97 0]
30	H	(3)	619.84	0.112	27.3%	0.019	27.3%	88.6	9.5%	0.352	25.5%	24.79%	11.5%	57.8%	30.7%	[1-0.97 0]
31	H	(3)	639.55	0.121	25.9%	0.021	25.9%	91.6	8.8%	0.366	24.4%	23.90%	11.6%	57.6%	30.9%	[1-0.97 0]
32	H	(3)	660.41	0.124	24.3%	0.023	24.3%	88.1	8.6%	0.390	22.7%	22.59%	11.1%	59.5%	29.4%	[1-0.97 0]
33	H	(3)	680.13	0.131	22.4%	0.025	22.4%	85.8	7.8%	0.425	21.0%	21.29%	13.1%	58.7%	28.2%	[1-0.97 0]
34	H	(3)	699.80	0.169	20.6%	0.033	20.6%	94.8	6.9%	0.494	19.4%	19.57%	17.5%	53.2%	29.3%	[1-0.97 0]
35	H	(3)	720.65	0.241	18.6%	0.048	18.6%	110.7	5.8%	0.605	17.6%	17.76%	22.8%	44.9%	32.3%	[1-0.97 0]
36	H	(3)	740.34	0.309	19.4%	0.064	19.4%	128.7	5.8%	0.668	18.5%	17.12%	28.3%	35.5%	36.2%	[1-0.96 2]
37	H	(3)	760.02	0.368	19.9%	0.078	19.9%	139.0	5.5%	0.737	19.1%	16.42%	33.8%	28.2%	38.0%	[1-0.98 0]
38	H	(3)	779.72	0.362	19.7%	0.079	19.7%	128.8	5.6%	0.781	18.9%	15.87%	38.2%	26.4%	35.4%	[1-0.94 0]
39	H	(3)	800.59	0.327	19.0%	0.073	19.0%	111.0	5.5%	0.818	18.2%	15.32%	40.4%	28.4%	31.2%	[1-0.97 0]
40	H	(3)	820.31	0.278	19.5%	0.063	19.5%	92.1	7.3%	0.840	18.1%	14.85%	41.5%	32.2%	26.3%	[1-0.98 1]
41	H	(3)	840.00	0.238	19.0%	0.056	19.0%	76.7	7.7%	0.863	17.3%	14.25%	41.0%	36.7%	22.2%	[1-0.52 0]
42	H	(3)	860.85	0.208	17.4%	0.050	17.4%	64.6	7.9%	0.892	15.5%	13.68%	39.5%	41.6%	18.8%	[1-0.47 0]
43	H	(3)	880.55	0.244	16.8%	0.060	16.8%	73.4	7.8%	0.923	14.9%	13.19%	37.6%	41.8%	20.6%	[1-0.10 2]
44	H	(3)	900.26	0.274	15.8%	0.069	15.8%	76.6	7.5%	0.994	13.9%	12.76%	37.8%	41.4%	20.8%	[1-0.74 0]
45	H	(3)	919.96	0.301	14.2%	0.077	14.2%	80.1	6.1%	1.043	12.9%	12.44%	38.4%	40.0%	21.5%	[1-0.97 0]
46	H	(3)	940.80	0.312	13.2%	0.082	13.2%	78.7	5.9%	1.101	11.8%	12.04%	40.9%	37.9%	21.2%	[1-1.00 0]
47	H	(3)	960.48	0.319	13.3%	0.085	13.3%	78.5	6.1%	1.130	11.8%	11.84%	43.5%	35.4%	21.1%	[1-1.00 1]
48	H	(3)	980.19	0.327	13.0%	0.089	13.0%	78.2	5.9%	1.164	11.6%	11.61%	46.0%	33.2%	20.8%	[1-1.00 1]
49	H	(3)	1001.03	0.352	12.9%	0.098	12.9%	81.8	6.1%	1.195	11.4%	11.36%	47.0%	31.3%	21.7%	[1-0.97 0]
50	H	(3)	1020.71	0.359	12.4%	0.102	12.4%	81.2	5.4%	1.227	11.1%	11.11%	47.4%	31.0%	21.6%	[1-1.00 1]
51	H	(3)	1040.42	0.343	12.5%	0.099	12.5%	77.5	6.0%	1.230	11.0%	10.94%	47.2%	32.4%	20.4%	[1-1.00 1]
52	H	(3)	1060.13	0.327	12.4%	0.096	12.4%	73.4	5.8%	1.236	10.9%	10.79%	47.0%	33.9%	19.2%	[1-1.00 1]
53	H	(3)	1081.00	0.312	12.7%	0.094	12.7%	69.2	6.7%	1.251	10.7%	10.61%	46.8%	35.0%	18.2%	[1-1.00 1]
54	H	(3)	1100.72	0.303	12.5%	0.093	12.5%	65.6	6.9%	1.284	10.5%	10.38%	46.3%	36.7%	16.9%	[1-1.00 1]
55	H	(6)	1120.44	0.286	12.6%	0.089	12.6%	60.6	7.3%	1.310	10.2%	10.15%	46.0%	38.5%	15.5%	[1-0.94 0]
56	H	(6)	1140.16	0.273	12.6%	0.086	12.6%	57.0	7.5%	1.329	10.0%	10.00%	46.1%	39.3%	14.6%	[1-1.00 1]
