[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.60	0.848	88.2%	0.005	88.2%	203.8	19.1%	1.156	86.1%	95.12%	32.1%	12.2%	55.7%	[1-0.43 0]
1	H	(3)	39.24	0.373	100.0%	0.004	100.0%	206.5	26.7%	0.501	100.0%	95.12%	31.7%	11.9%	56.4%	[1-0.43 0]
2	H	(3)	60.02	0.291	100.0%	0.005	100.0%	205.8	31.8%	0.393	100.0%	90.24%	32.0%	11.9%	56.1%	[1-0.43 0]
3	H	(3)	79.71	0.219	100.0%	0.005	100.0%	205.5	37.5%	0.296	100.0%	90.24%	32.2%	11.9%	56.0%	[1-0.43 0]
4	H	(3)	99.40	0.181	100.0%	0.005	100.0%	217.0	44.6%	0.232	100.0%	90.24%	28.8%	12.1%	59.1%	[1-0.43 0]
5	H	(3)	119.10	0.217	100.0%	0.007	100.0%	231.0	52.9%	0.261	100.0%	83.19%	24.9%	12.2%	62.9%	[1-0.43 0]
6	H	(3)	139.97	0.191	100.0%	0.007	100.0%	243.6	60.0%	0.218	100.0%	83.19%	21.2%	12.4%	66.3%	[1-0.43 0]
7	H	(3)	159.70	0.173	100.0%	0.008	100.0%	257.3	67.0%	0.186	100.0%	83.19%	17.3%	12.6%	70.1%	[1-0.43 0]
8	H	(3)	179.41	0.212	100.0%	0.011	100.0%	272.3	68.9%	0.217	100.0%	78.87%	12.8%	12.8%	74.4%	[1-0.43 0]
9	H	(3)	199.13	0.187	100.0%	0.010	100.0%	267.6	65.8%	0.194	100.0%	71.82%	14.3%	12.6%	73.1%	[1-0.43 0]
10	H	(3)	219.99	0.182	100.0%	0.011	100.0%	247.7	64.5%	0.204	100.0%	67.96%	15.3%	16.9%	67.9%	[1-0.43 0]
11	H	(3)	239.69	0.168	100.0%	0.011	100.0%	229.1	60.5%	0.203	100.0%	65.32%	16.1%	21.1%	62.9%	[1-0.43 0]
12	H	(3)	259.39	0.171	100.0%	0.012	100.0%	211.0	52.4%	0.224	100.0%	60.43%	16.7%	25.4%	57.9%	[1-0.43 0]
13	H	(3)	280.25	0.173	100.0%	0.013	100.0%	199.6	44.4%	0.241	100.0%	57.99%	17.9%	27.3%	54.8%	[1-0.43 0]
14	H	(3)	299.94	0.160	100.0%	0.013	100.0%	197.2	41.4%	0.225	100.0%	57.99%	16.2%	29.6%	54.2%	[1-0.43 0]
15	H	(3)	319.62	0.160	100.0%	0.014	100.0%	205.2	39.9%	0.217	100.0%	57.99%	15.7%	27.6%	56.7%	[1-0.43 0]
16	H	(3)	339.32	0.161	100.0%	0.015	100.0%	213.1	38.9%	0.209	100.0%	57.99%	15.1%	25.7%	59.2%	[1-0.43 0]
17	H	(3)	360.17	0.164	100.0%	0.016	100.0%	211.5	39.4%	0.216	100.0%	55.83%	15.0%	26.0%	59.0%	[1-0.43 0]
18	H	(3)	379.87	0.152	100.0%	0.016	100.0%	202.1	41.3%	0.209	100.0%	54.54%	15.3%	28.3%	56.4%	[1-0.43 0]
19	H	(3)	399.56	0.139	100.0%	0.015	100.0%	192.3	43.2%	0.200	100.0%	53.66%	15.8%	30.7%	53.6%	[1-0.43 0]
20	H	(3)	420.41	0.130	100.0%	0.015	100.0%	184.6	44.7%	0.195	100.0%	53.01%	16.1%	32.8%	51.1%	[1-0.43 0]
21	H	(3)	440.12	0.116	100.0%	0.014	100.0%	176.2	46.1%	0.182	100.0%	53.01%	16.6%	35.0%	48.4%	[1-0.43 0]
22	H	(3)	459.84	0.119	100.0%	0.015	100.0%	177.6	46.4%	0.186	100.0%	52.10%	16.3%	34.9%	48.8%	[1-0.43 0]
23	H	(3)	480.71	0.057	100.0%	0.008	100.0%	160.9	43.3%	0.099	100.0%	50.71%	17.4%	38.2%	44.3%	[1-0.43 0]
24	H	(3)	501.58	0.053	100.0%	0.007	100.0%	146.3	40.2%	0.100	100.0%	50.06%	20.1%	39.6%	40.3%	[1-0.43 0]
25	H	(3)	521.28	0.049	100.0%	0.007	100.0%	133.8	36.5%	0.103	100.0%	49.72%	22.8%	40.4%	36.8%	[1-0.43 0]
26	H	(3)	540.97	0.044	100.0%	0.007	100.0%	117.5	31.8%	0.104	100.0%	49.43%	25.0%	42.8%	32.2%	[1-0.43 0]
27	H	(3)	560.66	0.033	84.7%	0.005	84.7%	85.2	24.9%	0.108	81.0%	48.19%	26.7%	50.3%	22.9%	[1-0.43 0]
28	H	(3)	580.35	0.038	69.6%	0.006	69.6%	80.0	26.9%	0.133	64.2%	43.02%	26.6%	51.9%	21.5%	[1-0.43 0]
29	H	(3)	601.19	0.035	65.6%	0.006	65.6%	72.3	25.8%	0.136	60.3%	41.65%	24.2%	56.5%	19.3%	[1-0.43 0]
30	H	(3)	619.72	0.034	57.8%	0.006	57.8%	64.8	21.5%	0.145	53.7%	38.77%	20.5%	61.6%	17.9%	[1-0.43 0]
31	H	(3)	642.90	0.030	57.5%	0.005	57.5%	59.7	19.5%	0.138	54.1%	38.34%	17.6%	65.2%	17.1%	[1-0.43 0]
32	H	(3)	661.45	0.032	57.6%	0.006	57.6%	66.4	18.5%	0.135	54.5%	38.15%	15.2%	64.8%	19.9%	[1-0.43 0]
33	H	(3)	679.98	0.040	55.0%	0.007	55.0%	78.1	15.5%	0.141	52.8%	36.86%	13.9%	62.3%	23.9%	[1-0.43 0]
34	H	(3)	702.00	0.040	52.1%	0.008	52.1%	78.2	14.5%	0.144	50.1%	36.21%	13.2%	62.2%	24.6%	[1-0.43 0]
35	H	(3)	720.54	0.039	52.2%	0.008	52.2%	76.9	15.6%	0.142	49.8%	35.88%	13.1%	62.3%	24.6%	[1-0.43 0]
36	H	(3)	742.57	0.040	49.0%	0.008	49.0%	76.9	14.1%	0.146	46.9%	35.07%	12.7%	62.4%	24.9%	[1-0.43 0]
37	H	(3)	762.28	0.043	49.5%	0.009	49.5%	81.5	16.8%	0.145	46.5%	34.72%	12.5%	61.1%	26.4%	[1-0.43 0]
38	H	(3)	783.14	0.036	50.4%	0.008	50.4%	70.7	18.4%	0.140	46.9%	34.48%	10.7%	65.4%	23.8%	[1-0.43 0]
39	H	(3)	800.51	0.039	47.2%	0.009	47.2%	70.6	18.5%	0.151	43.5%	33.09%	9.0%	66.6%	24.3%	[1-0.43 0]
40	H	(3)	821.38	0.043	44.7%	0.010	44.7%	74.8	17.6%	0.159	41.1%	31.53%	10.5%	64.0%	25.5%	[1-0.43 0]
41	H	(3)	839.91	0.053	42.7%	0.012	42.7%	87.7	16.0%	0.167	39.6%	30.85%	13.5%	57.9%	28.6%	[1-0.43 0]
42	H	(3)	860.80	0.063	40.1%	0.015	40.1%	101.2	12.6%	0.172	38.1%	30.57%	16.2%	52.1%	31.7%	[1-0.43 0]
43	H	(3)	880.48	0.081	37.2%	0.020	37.2%	122.3	10.9%	0.184	35.5%	29.87%	20.0%	43.5%	36.4%	[1-0.43 0]
44	H	(3)	900.20	0.101	34.7%	0.025	34.7%	142.0	10.3%	0.198	33.1%	29.05%	24.9%	34.2%	40.9%	[1-0.43 0]
45	H	(3)	921.08	0.116	32.8%	0.030	32.8%	153.3	10.9%	0.210	31.0%	28.14%	26.5%	30.0%	43.5%	[1-0.43 0]
46	H	(3)	940.77	0.109	31.9%	0.028	31.9%	144.8	10.5%	0.209	30.1%	27.79%	25.9%	32.3%	41.8%	[1-0.43 0]
47	H	(3)	960.48	0.100	31.4%	0.027	31.4%	135.6	10.3%	0.205	29.6%	27.61%	25.7%	34.8%	39.5%	[1-0.43 0]
48	H	(3)	980.15	0.090	30.3%	0.025	30.3%	123.0	10.2%	0.204	28.5%	27.08%	24.7%	38.7%	36.5%	[1-0.43 0]
49	H	(3)	1001.01	0.078	30.3%	0.022	30.3%	111.2	9.5%	0.195	28.7%	27.08%	23.1%	43.2%	33.8%	[1-0.43 0]
50	H	(3)	1020.71	0.076	29.0%	0.022	29.0%	107.7	7.4%	0.196	28.0%	26.67%	23.1%	44.6%	32.3%	[1-0.43 0]
51	H	(3)	1040.43	0.081	28.4%	0.024	28.4%	113.0	7.6%	0.200	27.4%	26.29%	23.7%	43.4%	32.9%	[1-0.43 0]
52	H	(3)	1061.29	0.086	28.3%	0.025	28.3%	118.9	7.2%	0.201	27.4%	26.07%	25.0%	41.2%	33.8%	[1-0.43 0]
53	H	(3)	1080.99	0.093	27.9%	0.028	27.9%	124.6	6.9%	0.207	27.1%	25.72%	28.0%	37.3%	34.7%	[1-0.43 0]
54	H	(3)	1100.71	0.097	27.9%	0.030	27.9%	128.3	6.8%	0.211	27.0%	25.62%	30.7%	34.3%	35.0%	[1-0.43 0]
55	H	(3)	1120.43	0.099	27.7%	0.031	27.7%	129.1	6.7%	0.213	26.9%	25.48%	32.5%	32.4%	35.2%	[1-0.43 0]
56	H	(3)	1141.31	0.101	27.5%	0.032	27.5%	130.2	6.3%	0.215	26.7%	25.39%	34.3%	30.5%	35.2%	[1-0.43 0]
57	H	(3)	1161.01	0.105	27.0%	0.034	27.0%	132.9	6.1%	0.219	26.3%	25.14%	35.4%	28.5%	36.0%	[1-0.43 0]
58	H	(3)	1180.73	0.102	26.8%	0.034	26.8%	131.6	6.2%	0.216	26.0%	24.94%	34.7%	29.6%	35.6%	[1-0.43 0]
59	H	(3)	1200.43	0.099	26.7%	0.033	26.7%	130.0	6.2%	0.212	26.0%	24.83%	34.0%	30.8%	35.2%	[1-0.43 0]
60	H	(3)	1221.28	0.101	26.5%	0.034	26.5%	132.6	6.5%	0.212	25.7%	24.62%	33.3%	30.9%	35.9%	[1-0.43 0]
61	H	(3)	1240.97	0.110	26.2%	0.038	26.2%	141.8	6.8%	0.216	25.3%	24.28%	34.1%	27.8%	38.1%	[1-0.43 0]
62	H	(3)	1260.67	0.112	26.3%	0.039	26.3%	145.5	6.8%	0.215	25.4%	24.19%	34.2%	26.7%	39.1%	[1-0.43 0]
63	H	(3)	1281.51	0.120	26.1%	0.043	26.1%	152.4	6.8%	0.219	25.2%	23.97%	34.8%	24.2%	41.0%	[1-0.43 0]
64	H	(3)	1301.22	0.130	25.6%	0.047	25.6%	160.3	6.8%	0.224	24.7%	23.63%	35.3%	21.5%	43.2%	[1-0.43 0]
65	H	(3)	1320.91	0.134	25.4%	0.049	25.4%	165.2	6.3%	0.225	24.6%	23.48%	35.6%	19.9%	44.5%	[1-0.43 0]
66	H	(3)	1340.62	0.139	25.0%	0.052	25.0%	168.9	5.9%	0.229	24.3%	23.17%	34.4%	19.8%	45.8%	[1-0.43 0]
67	H	(3)	1361.48	0.146	24.5%	0.055	24.5%	173.1	5.8%	0.234	23.8%	22.75%	33.8%	19.2%	47.0%	[1-0.43 0]
68	H	(3)	1381.21	0.144	24.7%	0.055	24.7%	174.1	6.0%	0.230	23.9%	22.67%	32.9%	19.8%	47.3%	[1-0.43 0]
69	H	(3)	1400.93	0.149	24.5%	0.058	24.5%	178.6	6.1%	0.232	23.7%	22.45%	32.2%	19.1%	48.7%	[1-0.43 0]
70	H	(3)	1420.64	0.148	24.5%	0.058	24.5%	178.4	6.1%	0.230	23.7%	22.32%	31.0%	20.3%	48.7%	[1-0.43 0]
71	H	(3)	1441.51	0.142	24.5%	0.057	24.5%	174.9	6.2%	0.225	23.7%	22.32%	30.3%	21.9%	47.8%	[1-0.43 0]
72	H	(3)	1461.21	0.136	24.6%	0.055	24.6%	172.1	6.2%	0.220	23.8%	22.32%	29.7%	23.2%	47.1%	[1-0.43 0]
73	H	(3)	1480.91	0.132	24.5%	0.054	24.5%	169.2	6.2%	0.217	23.7%	22.25%	29.2%	24.5%	46.3%	[1-0.43 0]
74	H	(3)	1500.63	0.132	23.8%	0.055	23.8%	167.3	6.0%	0.220	23.0%	21.91%	29.2%	25.1%	45.7%	[1-0.43 0]
75	H	(3)	1521.50	0.133	23.6%	0.056	23.6%	168.3	6.0%	0.220	22.8%	21.76%	29.6%	24.5%	45.9%	[1-0.43 0]
76	H	(3)	1541.21	0.132	23.7%	0.057	23.7%	168.5	5.9%	0.218	22.9%	21.76%	29.8%	24.3%	45.9%	[1-0.43 0]
77	H	(3)	1560.89	0.132	23.8%	0.057	23.8%	170.2	5.9%	0.216	23.1%	21.76%	29.8%	24.0%	46.2%	[1-0.43 0]
78	H	(3)	1581.77	0.135	23.7%	0.059	23.7%	173.2	5.5%	0.216	23.1%	21.64%	30.5%	22.6%	46.9%	[1-0.43 0]
79	H	(3)	1601.49	0.133	23.7%	0.059	23.7%	172.3	5.6%	0.215	23.0%	21.57%	30.8%	22.7%	46.6%	[1-0.43 0]
80	H	(3)	1621.19	0.133	23.4%	0.060	23.4%	172.1	5.6%	0.216	22.7%	21.46%	31.1%	22.5%	46.5%	[1-0.43 0]
81	H	(3)	1640.89	0.131	23.0%	0.060	23.0%	166.8	5.7%	0.218	22.2%	21.16%	31.6%	23.4%	45.0%	[1-0.43 0]
82	H	(3)	1661.77	0.128	22.7%	0.059	22.7%	162.8	5.6%	0.218	22.0%	21.06%	32.3%	23.7%	44.0%	[1-0.43 0]
83	H	(3)	1681.49	0.125	22.5%	0.058	22.5%	160.6	5.6%	0.216	21.8%	20.96%	32.5%	23.8%	43.7%	[1-0.43 0]
84	H	(3)	1701.22	0.122	22.6%	0.058	22.6%	158.6	5.4%	0.214	21.9%	20.96%	32.8%	24.0%	43.2%	[1-0.43 0]
85	H	(3)	1720.92	0.120	22.3%	0.058	22.3%	156.2	5.4%	0.214	21.7%	20.82%	32.7%	24.7%	42.6%	[1-0.43 0]
86	H	(3)	1741.79	0.125	22.2%	0.060	22.2%	161.7	5.3%	0.215	21.5%	20.66%	32.5%	23.4%	44.1%	[1-0.43 0]
87	H	(3)	1761.49	0.130	22.1%	0.064	22.1%	168.2	5.5%	0.215	21.4%	20.52%	32.1%	22.1%	45.8%	[1-0.43 0]
88	H	(3)	1781.20	0.133	22.3%	0.066	22.3%	173.4	5.6%	0.213	21.6%	20.52%	31.5%	21.5%	46.9%	[1-0.43 0]
