[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.75	1.573	66.3%	0.009	66.3%	181.4	13.9%	2.408	64.9%	59.89%	38.6%	12.1%	49.3%	[1-0.96 0]
1	H	(3)	39.45	1.648	54.6%	0.018	54.6%	180.6	11.8%	2.535	53.3%	40.94%	39.0%	11.9%	49.1%	[1-0.96 0]
2	H	(3)	59.16	1.288	53.5%	0.021	53.5%	161.2	10.8%	2.219	52.4%	35.23%	36.1%	20.3%	43.6%	[1-0.96 0]
3	H	(3)	80.02	1.149	47.1%	0.026	47.1%	142.6	10.3%	2.239	45.9%	29.96%	35.3%	26.0%	38.7%	[1-0.96 0]
4	H	(3)	99.73	1.112	41.1%	0.031	41.1%	129.3	9.9%	2.390	39.9%	25.85%	38.9%	26.1%	35.0%	[1-0.96 0]
5	H	(3)	119.44	1.033	31.7%	0.034	31.7%	114.4	7.9%	2.506	30.7%	23.26%	41.0%	28.2%	30.8%	[1-0.96 0]
6	H	(3)	140.31	0.926	27.6%	0.036	27.6%	102.1	6.9%	2.519	26.7%	21.22%	39.2%	33.4%	27.3%	[1-0.96 0]
7	H	(3)	160.02	0.859	26.9%	0.038	26.9%	98.4	6.4%	2.423	26.2%	20.30%	40.4%	33.5%	26.1%	[1-0.96 0]
8	H	(3)	179.71	0.785	25.5%	0.039	25.5%	88.4	6.8%	2.467	24.5%	19.23%	44.2%	32.7%	23.2%	[1-0.96 0]
9	H	(3)	199.42	0.786	25.4%	0.044	25.4%	87.3	8.3%	2.501	24.0%	18.11%	43.8%	33.2%	23.0%	[1-0.96 0]
10	H	(3)	219.14	0.770	24.6%	0.047	24.6%	81.2	10.3%	2.634	22.4%	16.83%	43.8%	34.8%	21.5%	[1-1.00 1]
11	H	(3)	240.00	0.803	24.5%	0.054	24.5%	82.1	10.2%	2.718	22.3%	15.96%	48.2%	30.2%	21.7%	[1-1.00 1]
