[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.72	0.511	100.0%	0.003	100.0%	201.8	30.0%	0.703	100.0%	100.00%	32.9%	12.1%	55.0%	[1-1.00 0]
1	H	(3)	39.41	0.256	100.0%	0.003	100.0%	202.0	43.9%	0.352	100.0%	100.00%	32.6%	12.4%	55.0%	[1-1.00 0]
2	H	(3)	59.11	0.170	100.0%	0.003	100.0%	202.4	58.7%	0.234	100.0%	100.00%	32.4%	12.5%	55.1%	[1-1.00 0]
3	H	(3)	79.97	0.251	100.0%	0.006	100.0%	202.1	58.9%	0.344	100.0%	95.12%	32.1%	12.9%	55.0%	[1-1.00 0]
4	H	(3)	99.68	0.168	100.0%	0.005	100.0%	203.8	60.8%	0.230	100.0%	92.96%	31.9%	12.8%	55.3%	[1-1.00 0]
5	H	(3)	119.39	0.109	100.0%	0.004	100.0%	189.0	70.1%	0.160	100.0%	92.96%	31.1%	17.5%	51.5%	[1-1.00 0]
6	H	(3)	139.09	0.101	100.0%	0.004	100.0%	173.2	74.3%	0.162	100.0%	88.07%	30.7%	22.1%	47.1%	[1-1.00 0]
7	H	(3)	159.97	0.079	100.0%	0.003	100.0%	173.0	58.9%	0.126	100.0%	88.07%	30.5%	22.3%	47.2%	[1-1.00 0]
8	H	(3)	179.68	0.069	100.0%	0.003	100.0%	172.0	50.4%	0.112	100.0%	88.07%	30.5%	22.4%	47.1%	[1-1.00 0]
9	H	(3)	201.69	0.067	100.0%	0.004	100.0%	167.7	40.1%	0.111	100.0%	81.02%	27.7%	24.9%	47.4%	[1-1.00 0]
10	H	(3)	220.23	0.080	100.0%	0.005	100.0%	181.2	30.5%	0.123	100.0%	73.98%	23.5%	22.3%	54.2%	[1-1.00 0]
11	H	(3)	239.93	0.067	98.4%	0.004	98.4%	168.3	22.8%	0.111	95.7%	72.69%	18.8%	29.4%	51.8%	[1-1.00 0]
12	H	(3)	259.64	0.052	95.4%	0.004	95.4%	140.7	22.6%	0.103	92.7%	70.53%	14.7%	39.9%	45.4%	[1-1.00 0]
13	H	(3)	280.51	0.055	89.3%	0.004	89.3%	140.4	21.8%	0.109	86.6%	66.43%	14.8%	40.0%	45.1%	[1-1.00 0]
14	H	(3)	300.19	0.051	89.6%	0.004	89.6%	135.7	20.2%	0.104	87.3%	66.43%	17.7%	40.0%	42.3%	[1-1.00 0]
15	H	(3)	319.88	0.067	64.6%	0.006	64.6%	134.8	17.1%	0.138	62.3%	58.09%	18.7%	42.4%	38.9%	[1-1.00 0]
16	H	(3)	339.57	0.086	59.8%	0.008	59.8%	157.8	15.6%	0.152	57.8%	53.21%	20.5%	35.2%	44.2%	[1-1.00 0]
17	H	(3)	360.44	0.100	59.3%	0.010	59.3%	179.3	14.6%	0.155	57.5%	52.33%	21.9%	29.1%	49.0%	[1-1.00 0]
18	H	(3)	380.15	0.109	55.4%	0.011	55.4%	187.1	13.1%	0.161	53.9%	50.16%	20.1%	28.7%	51.2%	[1-1.00 0]
19	H	(3)	399.86	0.110	55.1%	0.012	55.1%	192.0	12.1%	0.159	53.7%	48.86%	18.3%	29.0%	52.7%	[1-1.00 0]
20	H	(3)	419.58	0.120	52.1%	0.014	52.1%	196.6	11.9%	0.169	50.8%	45.82%	21.5%	24.7%	53.8%	[1-1.00 0]
21	H	(3)	440.44	0.126	51.9%	0.015	51.9%	205.0	11.9%	0.170	50.6%	44.67%	23.5%	20.6%	55.9%	[1-1.00 0]
22	H	(3)	460.16	0.110	50.3%	0.014	50.3%	180.2	11.8%	0.170	48.8%	43.13%	24.8%	25.9%	49.2%	[1-1.00 0]
23	H	(3)	479.86	0.100	47.2%	0.013	47.2%	155.7	11.2%	0.179	45.8%	40.97%	30.6%	27.0%	42.4%	[1-1.00 0]
24	H	(3)	499.54	0.098	45.5%	0.014	45.5%	146.8	10.7%	0.186	44.2%	39.81%	33.5%	26.7%	39.9%	[1-1.00 0]
25	H	(3)	520.39	0.095	45.3%	0.014	45.3%	140.4	10.4%	0.188	44.1%	39.06%	35.1%	26.7%	38.1%	[1-1.00 0]
26	H	(3)	540.08	0.088	46.4%	0.013	46.4%	133.1	10.0%	0.183	45.3%	39.06%	36.8%	27.1%	36.1%	[1-1.00 0]
27	H	(3)	559.78	0.106	48.5%	0.017	48.5%	161.2	10.1%	0.183	47.5%	39.06%	39.3%	17.2%	43.5%	[1-1.00 0]
28	H	(3)	580.64	0.114	46.2%	0.018	46.2%	165.4	10.1%	0.192	45.1%	37.00%	38.2%	17.1%	44.7%	[1-1.00 0]
29	H	(3)	600.33	0.116	43.4%	0.019	43.4%	160.0	9.9%	0.201	42.2%	35.72%	37.5%	19.4%	43.1%	[1-1.00 0]
30	H	(3)	620.02	0.111	40.9%	0.019	40.9%	149.7	9.5%	0.205	39.8%	35.07%	38.1%	21.7%	40.2%	[1-1.00 0]
31	H	(3)	639.73	0.108	38.7%	0.019	38.7%	141.8	9.1%	0.211	37.7%	34.21%	40.0%	22.1%	37.9%	[1-1.00 0]
32	H	(3)	660.59	0.097	37.7%	0.018	37.7%	129.0	8.8%	0.208	36.6%	33.87%	41.4%	24.1%	34.5%	[1-1.00 0]
33	H	(3)	680.30	0.091	37.5%	0.017	37.5%	124.9	8.4%	0.203	36.6%	33.72%	41.5%	25.0%	33.5%	[1-1.00 0]
34	H	(3)	700.03	0.089	37.8%	0.017	37.8%	125.0	8.6%	0.199	36.8%	33.72%	43.8%	22.6%	33.6%	[1-1.00 0]
35	H	(3)	719.73	0.084	36.8%	0.017	36.8%	115.8	8.7%	0.201	35.7%	33.10%	46.7%	22.4%	30.9%	[1-1.00 0]
36	H	(3)	740.59	0.072	36.8%	0.015	36.8%	101.2	9.0%	0.198	35.7%	32.96%	50.0%	23.2%	26.8%	[1-1.00 0]
37	H	(3)	760.31	0.070	35.7%	0.015	35.7%	95.0	9.1%	0.203	34.5%	32.18%	51.5%	23.7%	24.9%	[1-1.00 0]
38	H	(3)	780.00	0.065	36.1%	0.014	36.1%	90.2	9.4%	0.199	34.9%	32.18%	52.2%	24.3%	23.5%	[1-1.00 0]
39	H	(3)	800.85	0.058	36.5%	0.013	36.5%	82.6	9.1%	0.195	35.4%	32.18%	53.8%	24.8%	21.5%	[1-1.00 0]
40	H	(3)	820.55	0.056	36.6%	0.013	36.6%	82.1	9.1%	0.189	35.5%	32.18%	53.2%	25.5%	21.3%	[1-1.00 0]
41	H	(3)	840.25	0.057	36.4%	0.013	36.4%	84.1	9.1%	0.188	35.3%	32.06%	52.3%	25.8%	22.0%	[1-1.00 0]
42	H	(3)	859.94	0.060	37.1%	0.014	37.1%	90.0	9.1%	0.184	36.0%	31.85%	48.7%	27.5%	23.8%	[1-1.00 0]
43	H	(3)	880.79	0.063	36.7%	0.015	36.7%	95.2	9.1%	0.183	35.6%	31.51%	45.2%	29.4%	25.3%	[1-1.00 0]
44	H	(3)	900.48	0.060	36.0%	0.015	36.0%	91.5	9.5%	0.183	34.8%	31.05%	45.2%	30.7%	24.0%	[1-1.00 0]
45	H	(3)	920.19	0.058	36.4%	0.015	36.4%	89.9	9.9%	0.178	35.0%	31.05%	45.0%	31.3%	23.8%	[1-1.00 0]
46	H	(3)	941.04	0.052	36.6%	0.014	36.6%	84.2	9.9%	0.172	35.2%	31.05%	45.1%	32.8%	22.2%	[1-1.00 0]
47	H	(3)	960.76	0.043	35.4%	0.011	35.4%	70.1	9.7%	0.170	34.0%	30.94%	49.6%	32.3%	18.1%	[1-1.00 0]
48	H	(3)	980.46	0.035	34.4%	0.009	34.4%	56.6	10.0%	0.171	32.9%	30.65%	53.5%	32.5%	14.0%	[1-1.00 0]
49	H	(3)	1000.17	0.031	34.5%	0.009	34.5%	52.8	9.6%	0.165	33.1%	30.65%	53.9%	33.2%	12.9%	[1-1.00 0]
50	H	(3)	1021.05	0.036	33.4%	0.010	33.4%	58.8	8.5%	0.168	32.3%	30.41%	55.0%	30.4%	14.6%	[1-1.00 0]
51	H	(3)	1040.76	0.036	33.2%	0.010	33.2%	60.8	8.9%	0.165	32.0%	30.22%	53.5%	31.1%	15.4%	[1-1.00 0]
52	H	(3)	1060.46	0.041	33.2%	0.012	33.2%	69.3	8.9%	0.163	31.9%	30.22%	52.6%	29.6%	17.8%	[1-1.00 0]
53	H	(3)	1080.16	0.040	33.1%	0.012	33.1%	70.7	8.8%	0.159	31.9%	30.22%	51.6%	29.9%	18.6%	[1-1.00 0]
54	H	(3)	1101.03	0.040	33.1%	0.012	33.1%	71.6	9.0%	0.155	31.9%	30.22%	50.1%	30.9%	19.0%	[1-1.00 0]
55	H	(3)	1120.71	0.035	33.3%	0.011	33.3%	65.5	10.0%	0.149	31.8%	30.22%	48.4%	34.4%	17.3%	[1-1.00 0]
56	H	(3)	1140.44	0.036	33.5%	0.011	33.5%	67.0	10.6%	0.148	31.8%	30.22%	48.9%	33.4%	17.7%	[1-1.00 0]
57	H	(3)	1160.15	0.033	33.7%	0.011	33.7%	62.7	11.5%	0.145	31.7%	30.22%	49.5%	33.7%	16.8%	[1-1.00 0]
58	H	(3)	1181.06	0.033	33.7%	0.011	33.7%	64.2	12.2%	0.145	31.5%	30.11%	50.9%	31.9%	17.3%	[1-1.00 0]
59	H	(3)	1200.76	0.034	34.5%	0.011	34.5%	65.3	14.2%	0.144	31.5%	30.11%	52.2%	30.1%	17.7%	[1-1.00 0]
