[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.62	1.037	87.9%	0.006	87.9%	153.9	17.8%	1.872	86.0%	58.50%	21.7%	36.0%	42.4%	[1-1.00 0]
1	H	(3)	39.26	1.133	50.2%	0.012	50.2%	107.2	15.0%	2.935	47.9%	36.96%	38.6%	32.6%	28.8%	[1-1.00 0]
2	H	(3)	58.95	1.086	46.3%	0.018	46.3%	98.6	13.5%	3.061	44.3%	31.33%	51.7%	22.1%	26.1%	[1-1.00 0]
3	H	(3)	79.79	0.975	41.3%	0.022	41.3%	85.5	12.6%	3.168	39.3%	27.06%	56.9%	20.9%	22.2%	[1-1.00 0]
4	H	(3)	99.49	0.995	36.7%	0.027	36.7%	81.4	12.2%	3.393	34.7%	23.78%	60.7%	18.3%	21.0%	[1-1.00 0]
5	H	(3)	119.21	0.775	29.8%	0.026	29.8%	60.3	8.8%	3.570	28.4%	22.16%	72.4%	12.8%	14.7%	[1-1.00 0]
6	H	(3)	140.05	0.778	25.9%	0.030	25.9%	57.8	8.6%	3.742	24.4%	20.16%	75.7%	10.4%	13.9%	[1-1.00 0]
7	H	(3)	159.75	0.729	23.0%	0.032	23.0%	54.7	8.4%	3.699	21.5%	18.59%	73.7%	13.4%	13.0%	[1-1.00 0]
8	H	(3)	179.47	0.780	21.8%	0.039	21.8%	59.1	8.2%	3.666	20.2%	17.72%	73.8%	12.1%	14.1%	[1-0.99 2]
9	H	(3)	199.18	0.716	20.6%	0.040	20.6%	55.9	8.2%	3.558	18.9%	16.98%	72.8%	14.0%	13.2%	[1-1.00 1]
10	H	(3)	220.04	0.728	19.5%	0.044	19.5%	57.6	8.1%	3.509	17.7%	16.05%	70.7%	15.6%	13.7%	[1-1.00 1]
11	H	(3)	239.73	0.721	18.4%	0.048	18.4%	56.4	7.9%	3.552	16.6%	15.24%	70.8%	15.8%	13.4%	[1-1.00 1]
12	H	(3)	259.43	0.675	17.6%	0.049	17.6%	53.2	7.5%	3.521	15.9%	14.73%	71.6%	16.0%	12.5%	[1-1.00 1]
13	H	(3)	279.15	0.648	16.7%	0.050	16.7%	51.0	7.1%	3.531	15.2%	14.25%	71.9%	16.1%	12.0%	[1-1.00 1]
14	H	(3)	300.00	0.650	16.0%	0.054	16.0%	50.2	6.9%	3.595	14.4%	13.63%	72.5%	15.7%	11.8%	[1-1.00 1]
15	H	(3)	319.69	0.616	15.3%	0.055	15.3%	47.6	6.1%	3.596	14.0%	13.28%	73.8%	15.2%	11.0%	[1-1.00 1]
16	H	(3)	339.37	0.656	15.0%	0.062	15.0%	50.1	6.4%	3.638	13.6%	12.91%	74.6%	13.7%	11.7%	[1-1.00 1]
17	H	(3)	360.22	0.649	14.3%	0.065	14.3%	48.3	6.2%	3.734	12.9%	12.32%	74.9%	13.9%	11.2%	[1-1.00 1]
18	H	(3)	379.91	0.623	14.0%	0.066	14.0%	46.9	6.3%	3.690	12.5%	11.97%	74.4%	14.9%	10.7%	[1-1.00 1]
19	H	(3)	399.63	0.643	13.9%	0.071	13.9%	48.2	6.5%	3.702	12.3%	11.72%	74.9%	14.0%	11.0%	[1-1.00 1]
20	H	(3)	419.33	0.645	13.7%	0.075	13.7%	48.4	6.9%	3.702	11.9%	11.39%	74.0%	14.9%	11.1%	[1-1.00 1]
21	H	(3)	440.17	0.629	13.4%	0.077	13.4%	47.6	6.6%	3.670	11.7%	11.13%	74.0%	15.0%	11.0%	[1-1.00 1]
22	H	(3)	459.88	0.656	13.2%	0.084	13.2%	49.2	6.5%	3.702	11.5%	10.89%	74.9%	13.7%	11.4%	[1-1.00 1]
23	H	(3)	479.58	0.643	13.0%	0.086	13.0%	47.5	6.8%	3.760	11.2%	10.61%	76.0%	13.1%	10.8%	[1-1.00 1]
24	H	(6)	499.29	0.642	12.3%	0.089	12.3%	46.8	5.9%	3.816	10.8%	10.34%	76.3%	12.9%	10.7%	[1-1.00 1]
25	H	(6)	520.37	0.660	12.1%	0.095	12.1%	46.8	6.0%	3.914	10.5%	10.06%	77.9%	11.4%	10.7%	[1-1.00 1]
26	H	(6)	540.07	0.647	12.0%	0.097	12.0%	46.2	6.0%	3.892	10.4%	9.90%	77.9%	11.6%	10.5%	[1-1.00 1]
27	H	(6)	559.78	0.633	11.8%	0.098	11.8%	45.6	5.7%	3.857	10.4%	9.80%	78.3%	11.3%	10.5%	[1-1.00 1]
