[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	20.81	3.792	56.9%	0.022	56.9%	119.2	11.7%	8.840	55.7%	29.00%	34.4%	33.0%	32.6%	[1-0.78 0]
1	H	(3)	40.38	2.540	41.5%	0.028	41.5%	77.8	13.7%	9.066	39.2%	21.02%	43.9%	35.6%	20.4%	[1-0.78 0]
2	H	(3)	60.06	2.541	32.7%	0.042	32.7%	73.9	12.3%	9.554	30.4%	16.82%	45.9%	34.7%	19.4%	[1-0.78 0]
3	H	(3)	79.75	2.511	27.6%	0.056	27.6%	70.5	10.7%	9.894	25.4%	14.12%	46.1%	35.4%	18.5%	[1-0.43 0]
4	H	(3)	99.43	2.158	26.5%	0.060	26.5%	65.6	10.0%	9.141	24.6%	13.10%	46.0%	36.8%	17.2%	[1-0.43 0]
5	H	(3)	119.15	1.493	18.5%	0.049	18.5%	46.1	8.9%	8.996	16.3%	11.93%	47.2%	41.3%	11.5%	[1-0.43 2]
6	H	(3)	140.02	1.544	15.3%	0.060	15.3%	46.4	7.6%	9.243	13.3%	10.81%	46.7%	41.7%	11.6%	[1-0.34 2]
7	H	(6)	159.74	1.317	15.2%	0.058	15.2%	40.9	8.3%	8.949	12.7%	10.12%	45.7%	44.3%	10.0%	[1-0.00 2]
8	H	(6)	179.44	1.108	15.0%	0.055	15.0%	33.3	9.6%	9.236	11.5%	9.50%	46.9%	45.4%	7.7%	[1-0.43 0]
9	H	(6)	199.16	1.075	15.3%	0.059	15.3%	32.5	10.2%	9.205	11.5%	9.01%	47.8%	45.0%	7.2%	[1-0.43 0]
10	H	(6)	220.03	1.093	15.9%	0.067	15.9%	32.6	11.0%	9.307	11.5%	8.62%	49.9%	42.8%	7.3%	[1-0.43 0]
11	H	(6)	240.89	0.995	16.4%	0.067	16.4%	30.7	11.2%	9.010	12.0%	8.28%	49.3%	44.2%	6.5%	[1-0.00 2]
13	H	(6)	281.46	1.019	14.6%	0.080	14.6%	30.5	8.5%	9.273	11.9%	7.66%	50.1%	43.6%	6.3%	[1-0.42 2]
14	H	(6)	301.17	1.083	15.3%	0.091	15.3%	32.5	9.5%	9.251	12.1%	7.40%	49.9%	43.4%	6.7%	[1-0.34 2]
15	H	(6)	320.87	0.963	15.5%	0.086	15.5%	29.8	9.7%	8.972	12.1%	7.21%	49.5%	44.6%	5.9%	[1-0.00 2]
16	H	(6)	341.72	1.086	16.2%	0.103	16.2%	32.8	11.1%	9.203	11.7%	6.95%	49.4%	43.9%	6.7%	[1-0.33 2]
