[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.62	0.118	65.9%	0.001	65.9%	12.7	14.9%	2.585	64.2%	64.90%	85.4%	14.3%	0.3%	[1-1.00 0]
1	H	(3)	40.49	0.215	68.8%	0.002	68.8%	28.8	15.3%	2.081	67.1%	51.10%	75.8%	18.9%	5.3%	[1-1.00 0]
2	H	(3)	60.19	0.325	52.9%	0.005	52.9%	39.0	13.9%	2.316	51.1%	36.78%	68.1%	23.4%	8.4%	[1-1.00 0]
3	H	(3)	79.88	0.471	54.2%	0.010	54.2%	58.8	19.1%	2.226	50.7%	31.79%	59.3%	26.4%	14.3%	[1-1.00 0]
4	H	(3)	99.57	0.488	46.8%	0.014	46.8%	58.7	16.7%	2.311	43.8%	27.01%	54.8%	30.7%	14.6%	[1-1.00 0]
5	H	(3)	119.27	0.510	39.6%	0.017	39.6%	65.6	15.7%	2.162	36.3%	25.14%	46.1%	37.0%	16.9%	[1-1.00 0]
6	H	(3)	140.13	0.500	34.8%	0.019	34.8%	68.4	14.0%	2.031	31.8%	23.40%	40.2%	41.8%	17.9%	[1-1.00 0]
7	H	(3)	159.83	0.455	33.1%	0.020	33.1%	65.8	14.1%	1.922	29.9%	22.25%	37.4%	45.2%	17.3%	[1-1.00 0]
8	H	(3)	179.53	0.368	26.1%	0.018	26.1%	54.9	7.6%	1.863	25.0%	21.21%	39.9%	45.8%	14.3%	[1-1.00 0]
9	H	(3)	199.24	0.322	24.7%	0.018	24.7%	48.1	8.4%	1.864	23.2%	20.19%	41.7%	46.2%	12.1%	[1-1.00 1]
10	H	(3)	220.10	0.278	22.9%	0.017	22.9%	42.1	7.6%	1.833	21.6%	19.26%	40.4%	49.4%	10.2%	[1-1.00 1]
11	H	(3)	239.79	0.226	21.6%	0.015	21.6%	34.1	7.8%	1.842	20.1%	18.07%	40.3%	52.0%	7.7%	[1-1.00 1]
12	H	(3)	259.49	0.282	20.0%	0.020	20.0%	40.9	5.5%	1.916	19.2%	17.22%	42.5%	47.9%	9.6%	[1-1.00 1]
13	H	(3)	280.34	0.271	19.4%	0.021	19.4%	39.6	5.6%	1.900	18.6%	16.70%	43.7%	47.0%	9.3%	[1-1.00 1]
14	H	(3)	300.04	0.337	18.4%	0.028	18.4%	48.8	4.6%	1.919	17.9%	16.16%	45.0%	43.0%	12.1%	[1-1.00 1]
15	H	(3)	319.74	0.410	17.8%	0.036	17.8%	57.5	5.2%	1.981	17.0%	15.71%	48.0%	37.3%	14.7%	[1-1.00 1]
16	H	(3)	339.46	0.510	16.8%	0.048	16.8%	67.6	5.2%	2.096	16.0%	15.03%	50.5%	31.7%	17.7%	[1-1.00 1]
17	H	(3)	360.32	0.501	15.7%	0.050	15.7%	65.1	5.2%	2.139	14.8%	14.34%	49.8%	33.3%	17.0%	[1-1.00 1]
18	H	(3)	380.03	0.526	15.7%	0.056	15.7%	69.5	5.9%	2.104	14.5%	14.02%	48.2%	33.6%	18.2%	[1-1.00 1]
19	H	(3)	399.75	0.536	15.5%	0.059	15.5%	71.1	5.9%	2.092	14.4%	13.68%	47.0%	34.4%	18.6%	[1-1.00 1]
20	H	(3)	419.46	0.558	15.4%	0.065	15.4%	74.8	6.1%	2.070	14.2%	13.36%	45.8%	34.5%	19.7%	[1-1.00 1]
21	H	(3)	440.32	0.541	15.2%	0.066	15.2%	72.9	6.2%	2.064	13.9%	13.05%	45.3%	35.4%	19.3%	[1-1.00 1]
22	H	(3)	460.01	0.519	15.3%	0.066	15.3%	69.5	7.2%	2.072	13.5%	12.75%	45.2%	36.4%	18.4%	[1-1.00 1]
23	H	(3)	479.70	0.462	15.2%	0.062	15.2%	62.5	6.5%	2.054	13.8%	12.51%	45.6%	37.9%	16.4%	[1-1.00 1]
