[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	39.53	0.299	100.0%	0.003	100.0%	201.1	45.6%	0.413	100.0%	100.00%	32.4%	12.8%	54.8%	[1-1.00 0]
1	H	(3)	59.23	0.202	100.0%	0.003	100.0%	202.8	56.1%	0.276	100.0%	100.00%	32.5%	12.2%	55.3%	[1-1.00 0]
2	H	(3)	80.08	0.175	100.0%	0.004	100.0%	198.2	60.3%	0.246	100.0%	95.12%	26.4%	19.5%	54.1%	[1-1.00 0]
3	H	(3)	99.78	0.143	100.0%	0.004	100.0%	196.7	66.0%	0.202	100.0%	92.96%	22.7%	23.5%	53.8%	[1-1.00 0]
4	H	(3)	119.50	0.208	100.0%	0.007	100.0%	193.4	63.7%	0.299	100.0%	83.19%	21.3%	25.7%	53.0%	[1-1.00 0]
5	H	(3)	139.19	0.110	100.0%	0.004	100.0%	188.2	70.1%	0.162	100.0%	83.19%	17.9%	30.5%	51.6%	[1-1.00 0]
6	H	(3)	160.04	0.091	100.0%	0.004	100.0%	183.2	74.7%	0.138	100.0%	83.19%	14.4%	35.2%	50.4%	[1-1.00 0]
7	H	(3)	179.75	0.080	100.0%	0.004	100.0%	180.9	80.9%	0.123	100.0%	83.19%	14.6%	35.5%	49.9%	[1-1.00 0]
8	H	(3)	199.44	0.071	100.0%	0.004	100.0%	170.5	82.9%	0.116	100.0%	81.90%	16.8%	36.6%	46.6%	[1-1.00 0]
9	H	(3)	220.29	0.052	100.0%	0.003	100.0%	148.0	88.5%	0.098	100.0%	81.90%	29.5%	30.9%	39.6%	[1-1.00 0]
10	H	(3)	239.99	0.048	100.0%	0.003	100.0%	133.0	88.7%	0.100	100.0%	81.90%	41.5%	23.7%	34.8%	[1-1.00 0]
11	H	(3)	259.69	0.049	100.0%	0.004	100.0%	118.3	85.9%	0.115	100.0%	77.02%	47.4%	22.1%	30.5%	[1-1.00 0]
12	H	(3)	279.40	0.037	100.0%	0.003	100.0%	86.4	78.8%	0.118	100.0%	73.98%	55.8%	23.1%	21.1%	[1-1.00 0]
13	H	(3)	300.26	0.025	100.0%	0.002	100.0%	62.7	69.4%	0.111	100.0%	73.98%	62.5%	23.1%	14.4%	[1-1.00 0]
14	H	(3)	319.95	0.026	100.0%	0.002	100.0%	61.8	59.0%	0.118	100.0%	66.94%	58.0%	27.4%	14.7%	[1-1.00 0]
15	H	(3)	339.65	0.022	100.0%	0.002	100.0%	56.4	43.4%	0.106	100.0%	66.94%	54.4%	32.2%	13.5%	[1-1.00 0]
16	H	(3)	360.50	0.024	100.0%	0.002	100.0%	60.0	20.3%	0.111	100.0%	62.05%	53.5%	32.1%	14.3%	[1-1.00 0]
17	H	(3)	380.19	0.035	100.0%	0.004	100.0%	84.6	16.7%	0.116	100.0%	58.60%	47.3%	31.1%	21.6%	[1-1.00 0]
18	H	(3)	399.89	0.045	68.1%	0.005	68.1%	107.8	14.2%	0.115	66.6%	57.95%	43.1%	28.6%	28.3%	[1-1.00 0]
19	H	(3)	419.60	0.053	63.3%	0.006	63.3%	120.9	14.0%	0.121	61.7%	55.79%	40.6%	27.3%	32.1%	[1-1.00 0]
20	H	(3)	440.44	0.054	63.9%	0.007	63.9%	129.2	13.7%	0.117	62.4%	54.50%	36.2%	29.3%	34.5%	[1-1.00 0]
21	H	(3)	460.13	0.054	62.1%	0.007	62.1%	127.8	13.3%	0.117	60.7%	53.21%	34.8%	30.8%	34.4%	[1-1.00 0]
22	H	(3)	479.82	0.051	60.7%	0.007	60.7%	121.2	12.9%	0.116	59.3%	52.33%	37.8%	29.9%	32.3%	[1-1.00 0]
23	H	(3)	500.65	0.049	60.4%	0.007	60.4%	120.0	12.6%	0.114	59.0%	51.45%	36.6%	31.2%	32.2%	[1-1.00 0]
24	H	(3)	520.35	0.047	61.9%	0.007	61.9%	119.5	12.5%	0.108	60.6%	51.45%	33.4%	34.4%	32.2%	[1-1.00 0]
25	H	(3)	540.05	0.047	59.1%	0.007	59.1%	116.1	12.3%	0.113	57.8%	49.92%	36.8%	32.1%	31.1%	[1-1.00 0]
26	H	(3)	559.77	0.048	53.6%	0.007	53.6%	107.2	12.1%	0.124	52.2%	47.72%	40.6%	30.9%	28.5%	[1-1.00 0]
27	H	(3)	580.64	0.045	52.3%	0.007	52.3%	97.3	11.8%	0.128	51.0%	46.57%	45.3%	29.0%	25.7%	[1-1.00 0]
28	H	(3)	600.33	0.038	51.9%	0.006	51.9%	82.1	11.4%	0.129	50.7%	46.57%	52.5%	26.3%	21.2%	[1-1.00 0]
29	H	(3)	620.05	0.032	51.6%	0.006	51.6%	69.2	10.7%	0.130	50.4%	46.57%	59.6%	23.1%	17.4%	[1-1.00 0]
30	H	(3)	639.76	0.029	49.5%	0.005	49.5%	60.7	10.2%	0.132	48.4%	45.69%	60.4%	24.6%	15.0%	[1-1.00 0]
31	H	(3)	660.63	0.028	49.1%	0.005	49.1%	59.0	10.3%	0.131	48.0%	45.35%	61.4%	24.2%	14.4%	[1-1.00 0]
32	H	(3)	680.33	0.029	46.4%	0.006	46.4%	60.2	10.1%	0.135	45.3%	44.30%	60.6%	24.7%	14.8%	[1-1.00 0]
33	H	(3)	700.02	0.029	46.7%	0.006	46.7%	61.6	9.9%	0.131	45.6%	44.30%	60.0%	24.9%	15.2%	[1-1.00 0]
34	H	(3)	720.87	0.032	44.3%	0.006	44.3%	66.8	9.8%	0.134	43.2%	42.13%	57.1%	26.3%	16.6%	[1-1.00 0]
35	H	(3)	740.55	0.034	44.9%	0.007	44.9%	71.6	10.0%	0.130	43.7%	42.13%	55.8%	26.2%	18.0%	[1-1.00 0]
36	H	(3)	760.23	0.033	45.3%	0.007	45.3%	72.8	9.7%	0.125	44.3%	42.13%	54.0%	27.7%	18.3%	[1-1.00 0]
37	H	(3)	779.91	0.032	45.6%	0.007	45.6%	74.1	9.6%	0.120	44.6%	42.13%	52.0%	29.3%	18.7%	[1-1.00 0]
38	H	(3)	800.77	0.031	46.0%	0.007	46.0%	76.3	9.6%	0.114	45.0%	42.13%	49.6%	31.0%	19.4%	[1-1.00 0]
39	H	(3)	820.47	0.032	44.6%	0.007	44.6%	77.2	9.4%	0.115	43.6%	41.63%	48.5%	31.9%	19.7%	[1-1.00 0]
40	H	(3)	840.17	0.031	44.7%	0.007	44.7%	77.0	9.2%	0.111	43.8%	41.63%	47.6%	32.7%	19.6%	[1-1.00 0]
41	H	(3)	861.05	0.031	44.9%	0.007	44.9%	80.2	9.3%	0.108	43.9%	41.63%	46.9%	32.5%	20.6%	[1-1.00 0]
42	H	(3)	880.76	0.033	44.1%	0.008	44.1%	85.1	9.5%	0.109	43.1%	41.22%	45.7%	32.3%	22.0%	[1-1.00 0]
43	H	(3)	900.46	0.035	44.4%	0.009	44.4%	90.6	9.6%	0.106	43.4%	41.22%	44.4%	32.1%	23.5%	[1-1.00 0]
44	H	(3)	920.18	0.036	43.1%	0.009	43.1%	92.1	9.7%	0.107	42.0%	40.57%	43.5%	32.6%	24.0%	[1-1.00 0]
45	H	(3)	941.02	0.036	43.5%	0.010	43.5%	96.7	9.7%	0.105	42.4%	40.57%	42.4%	32.4%	25.2%	[1-1.00 0]
46	H	(3)	960.73	0.036	43.8%	0.010	43.8%	99.0	9.6%	0.102	42.7%	40.57%	41.2%	33.0%	25.8%	[1-1.00 0]
47	H	(3)	980.42	0.036	44.0%	0.010	44.0%	101.4	9.7%	0.100	42.9%	40.57%	40.2%	33.3%	26.5%	[1-1.00 0]
48	H	(3)	1000.13	0.035	44.1%	0.010	44.1%	101.5	9.5%	0.097	43.1%	40.57%	39.3%	34.2%	26.5%	[1-1.00 0]
49	H	(3)	1021.01	0.034	44.1%	0.010	44.1%	100.2	9.4%	0.094	43.1%	40.57%	39.0%	34.9%	26.2%	[1-1.00 0]
50	H	(3)	1040.69	0.033	44.1%	0.009	44.1%	98.6	9.5%	0.092	43.0%	40.57%	38.7%	35.6%	25.8%	[1-1.00 0]
51	H	(3)	1060.39	0.032	44.0%	0.009	44.0%	98.6	9.5%	0.091	43.0%	40.57%	38.9%	35.3%	25.8%	[1-1.00 0]
52	H	(3)	1081.25	0.031	44.0%	0.009	44.0%	96.8	9.5%	0.088	42.9%	40.57%	38.7%	36.1%	25.2%	[1-1.00 0]
53	H	(3)	1100.95	0.030	43.9%	0.009	43.9%	96.6	9.5%	0.087	42.9%	40.57%	39.0%	35.9%	25.1%	[1-1.00 0]
54	H	(3)	1120.65	0.032	42.8%	0.010	42.8%	99.7	9.4%	0.088	41.8%	40.07%	39.4%	34.5%	26.1%	[1-1.00 0]
55	H	(3)	1140.38	0.033	43.0%	0.010	43.0%	103.8	9.5%	0.087	42.0%	40.07%	39.2%	33.6%	27.3%	[1-1.00 0]
56	H	(3)	1161.30	0.032	43.2%	0.010	43.2%	104.5	9.4%	0.086	42.2%	40.07%	38.7%	33.8%	27.5%	[1-1.00 0]
57	H	(3)	1181.02	0.032	42.7%	0.010	42.7%	102.5	9.2%	0.085	41.7%	39.78%	39.3%	33.7%	27.0%	[1-1.00 0]
58	H	(3)	1200.74	0.032	42.8%	0.011	42.8%	104.7	9.4%	0.085	41.8%	39.78%	39.6%	32.8%	27.6%	[1-1.00 0]
59	H	(3)	1220.43	0.032	40.6%	0.011	40.6%	102.8	9.3%	0.088	39.6%	38.49%	38.8%	34.1%	27.1%	[1-1.00 0]
60	H	(3)	1241.30	0.031	40.8%	0.011	40.8%	100.7	9.1%	0.086	39.8%	38.49%	39.0%	34.5%	26.5%	[1-1.00 0]
61	H	(3)	1260.99	0.030	40.5%	0.011	40.5%	97.7	8.9%	0.085	39.5%	38.16%	39.8%	34.5%	25.7%	[1-1.00 0]
62	H	(3)	1280.70	0.031	40.0%	0.011	40.0%	99.8	8.9%	0.086	39.0%	37.82%	39.1%	34.7%	26.2%	[1-1.00 0]
63	H	(3)	1301.57	0.029	40.4%	0.011	40.4%	97.0	9.0%	0.084	39.4%	37.82%	38.7%	35.8%	25.5%	[1-1.00 0]
64	H	(3)	1321.26	0.028	40.4%	0.010	40.4%	93.3	8.9%	0.082	39.4%	37.82%	39.6%	35.9%	24.5%	[1-1.00 0]
65	H	(3)	1340.95	0.027	40.5%	0.010	40.5%	93.4	9.0%	0.081	39.5%	37.82%	39.7%	35.8%	24.5%	[1-1.00 0]
66	H	(3)	1360.67	0.027	40.7%	0.010	40.7%	94.6	9.3%	0.080	39.6%	37.82%	39.3%	35.9%	24.9%	[1-1.00 0]
