[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.77	2.346	38.1%	0.013	38.1%	107.5	8.4%	6.062	37.1%	36.31%	37.3%	33.8%	28.9%	[1-0.00 0]
1	H	(3)	39.30	2.246	31.6%	0.025	31.6%	100.8	7.1%	6.189	30.8%	25.35%	37.8%	35.3%	26.9%	[1-0.00 0]
2	H	(3)	58.99	1.869	29.9%	0.031	29.9%	91.5	6.5%	5.675	29.2%	21.41%	37.2%	38.4%	24.4%	[1-0.00 0]
3	H	(3)	79.83	1.742	26.8%	0.039	26.8%	84.2	6.6%	5.744	26.0%	18.20%	37.7%	39.9%	22.4%	[1-0.00 0]
4	H	(3)	99.53	1.639	24.3%	0.045	24.3%	76.9	6.9%	5.921	23.3%	16.10%	39.3%	40.3%	20.4%	[1-0.28 2]
5	H	(3)	119.23	1.377	20.4%	0.046	20.4%	66.3	7.0%	5.766	19.1%	14.73%	40.1%	42.4%	17.4%	[1-0.00 2]
6	H	(3)	140.09	1.011	18.3%	0.039	18.3%	50.5	7.2%	5.566	16.8%	13.66%	40.7%	46.6%	12.7%	[1-0.00 2]
7	H	(3)	159.81	0.901	16.7%	0.040	16.7%	42.2	8.1%	5.935	14.6%	12.49%	43.1%	46.8%	10.1%	[1-0.51 2]
8	H	(3)	179.52	0.874	15.2%	0.044	15.2%	38.2	7.8%	6.360	13.0%	11.55%	47.2%	43.8%	9.0%	[1-0.82 0]
9	H	(3)	199.22	0.858	14.8%	0.047	14.8%	36.8	8.0%	6.480	12.5%	10.92%	49.3%	42.3%	8.3%	[1-0.68 2]
10	H	(3)	220.09	0.731	13.9%	0.045	13.9%	32.2	6.7%	6.310	12.2%	10.33%	51.1%	42.1%	6.9%	[1-0.00 2]
11	H	(6)	239.78	0.882	14.0%	0.059	14.0%	36.2	8.3%	6.772	11.3%	9.81%	53.8%	38.1%	8.1%	[1-0.41 2]
12	H	(6)	259.49	0.869	14.0%	0.063	14.0%	36.5	8.3%	6.617	11.2%	9.48%	54.7%	37.2%	8.1%	[1-0.03 2]
13	H	(6)	279.18	0.834	13.6%	0.065	13.6%	35.1	8.5%	6.593	10.6%	9.09%	53.2%	39.3%	7.4%	[1-0.11 2]
14	H	(6)	300.04	0.786	12.6%	0.066	12.6%	33.4	7.8%	6.529	9.9%	8.73%	51.6%	41.6%	6.8%	[1-0.00 2]
15	H	(6)	319.76	0.773	13.1%	0.069	13.1%	33.3	8.8%	6.447	9.7%	8.48%	51.4%	42.0%	6.6%	[1-0.00 2]
16	H	(6)	339.46	0.859	11.9%	0.081	11.9%	35.4	7.8%	6.731	9.0%	8.15%	51.3%	41.4%	7.3%	[1-0.41 2]
17	H	(6)	360.31	0.953	11.7%	0.095	11.7%	38.7	7.9%	6.833	8.6%	7.86%	51.1%	40.5%	8.3%	[1-0.33 2]
18	H	(6)	380.00	0.984	12.5%	0.104	12.5%	40.1	9.3%	6.809	8.4%	7.61%	50.4%	40.8%	8.8%	[1-0.12 2]
19	H	(6)	399.70	1.080	13.3%	0.120	13.3%	43.4	10.5%	6.908	8.1%	7.45%	51.2%	39.0%	9.8%	[1-0.28 2]
20	H	(6)	419.41	1.246	13.0%	0.145	13.0%	49.0	10.3%	7.062	7.9%	7.24%	51.7%	36.8%	11.5%	[1-0.26 2]
21	H	(6)	440.27	1.308	12.7%	0.160	12.7%	51.3	10.1%	7.086	7.7%	7.08%	51.0%	36.8%	12.2%	[1-0.32 2]
22	H	(6)	459.98	1.399	12.1%	0.179	12.1%	53.8	9.5%	7.218	7.5%	6.93%	51.4%	35.8%	12.9%	[1-0.55 2]
23	H	(6)	479.70	1.509	12.1%	0.201	12.1%	57.0	9.5%	7.347	7.5%	6.78%	52.4%	33.7%	13.9%	[1-0.61 2]
24	H	(6)	499.40	1.528	11.9%	0.212	11.9%	57.7	9.3%	7.354	7.4%	6.66%	52.4%	33.3%	14.3%	[1-0.63 2]
25	H	(6)	520.25	1.495	11.4%	0.216	11.4%	56.7	8.6%	7.326	7.4%	6.55%	53.0%	33.0%	14.0%	[1-0.66 2]
26	H	(6)	539.96	1.435	11.3%	0.215	11.3%	54.4	8.6%	7.331	7.2%	6.41%	53.5%	33.1%	13.4%	[1-0.56 2]
27	H	(6)	559.64	1.326	11.4%	0.206	11.4%	51.1	8.9%	7.206	7.1%	6.28%	52.9%	34.5%	12.5%	[1-0.35 2]
28	H	(6)	580.50	1.232	10.6%	0.199	10.6%	48.2	8.1%	7.091	6.9%	6.21%	52.7%	35.7%	11.6%	[1-0.39 2]
29	H	(6)	600.21	1.195	9.3%	0.199	9.3%	46.6	6.4%	7.122	6.7%	6.09%	52.9%	36.1%	11.0%	[1-0.37 2]
30	H	(6)	619.91	1.163	9.3%	0.200	9.3%	45.9	6.5%	7.042	6.6%	6.01%	52.4%	36.8%	10.8%	[1-0.36 2]
31	H	(6)	639.62	1.181	9.0%	0.210	9.0%	46.5	6.4%	7.057	6.4%	5.89%	52.1%	37.0%	10.9%	[1-0.39 2]
32	H	(6)	660.47	1.156	9.2%	0.212	9.2%	46.3	6.6%	6.935	6.4%	5.81%	52.0%	37.1%	10.9%	[1-0.17 2]
33	H	(6)	680.17	1.193	8.9%	0.225	8.9%	48.1	6.2%	6.893	6.3%	5.72%	51.0%	37.7%	11.3%	[1-0.07 2]
34	H	(6)	699.89	1.176	9.5%	0.229	9.5%	47.5	7.2%	6.872	6.2%	5.63%	50.4%	38.4%	11.3%	[1-0.00 2]
35	H	(6)	720.75	1.174	9.7%	0.235	9.7%	47.6	7.5%	6.851	6.1%	5.55%	49.9%	38.8%	11.3%	[1-0.00 2]
36	H	(6)	740.45	1.176	9.6%	0.242	9.6%	47.4	7.6%	6.888	6.0%	5.47%	49.5%	39.2%	11.3%	[1-0.11 2]
37	H	(6)	760.15	1.185	9.0%	0.250	9.0%	47.7	6.9%	6.904	5.9%	5.40%	49.7%	39.0%	11.3%	[1-0.20 2]
38	H	(6)	781.01	1.153	9.1%	0.250	9.1%	46.1	7.0%	6.940	5.8%	5.34%	51.2%	37.9%	11.0%	[1-0.21 2]
39	H	(6)	800.71	1.144	9.1%	0.254	9.1%	46.4	6.9%	6.845	5.9%	5.29%	51.5%	37.6%	10.9%	[1-0.00 2]
40	H	(6)	820.42	1.136	8.9%	0.259	8.9%	44.8	6.9%	7.042	5.7%	5.22%	52.8%	36.7%	10.5%	[1-0.36 2]
41	H	(6)	840.12	1.140	9.1%	0.266	9.1%	44.8	7.1%	7.064	5.7%	5.17%	53.6%	36.0%	10.4%	[1-0.41 2]
42	H	(6)	861.02	1.114	9.5%	0.267	9.5%	44.1	7.7%	7.014	5.6%	5.11%	54.2%	35.6%	10.1%	[1-0.27 2]
43	H	(6)	881.89	1.064	9.3%	0.261	9.3%	42.4	7.4%	6.967	5.6%	5.05%	53.9%	36.4%	9.6%	[1-0.28 2]
44	H	(6)	901.59	1.100	9.1%	0.275	9.1%	43.3	7.2%	7.063	5.5%	4.99%	54.7%	35.4%	9.9%	[1-0.37 2]
