[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.59	0.971	48.0%	0.005	48.0%	67.7	20.4%	3.985	43.4%	41.01%	23.5%	58.6%	17.9%	[1-0.43 0]
1	H	(3)	39.30	1.640	40.4%	0.018	40.4%	110.0	15.4%	4.142	37.4%	29.20%	22.1%	49.0%	28.9%	[1-0.43 0]
2	H	(3)	60.14	1.737	33.5%	0.029	33.5%	104.5	12.9%	4.617	31.0%	22.42%	23.7%	48.5%	27.8%	[1-0.43 0]
3	H	(3)	79.86	1.671	29.6%	0.037	29.6%	94.2	11.8%	4.926	27.1%	19.03%	27.3%	47.8%	24.9%	[1-1.00 1]
4	H	(3)	100.59	2.124	30.8%	0.059	30.8%	112.6	10.7%	5.239	28.9%	16.78%	29.6%	40.5%	29.9%	[1-1.00 1]
5	H	(3)	119.20	2.084	26.1%	0.069	26.1%	107.8	8.9%	5.371	24.6%	15.26%	31.6%	39.8%	28.5%	[1-1.00 1]
6	H	(3)	140.05	1.647	24.0%	0.064	24.0%	87.6	7.4%	5.220	22.9%	14.18%	35.4%	41.4%	23.2%	[1-1.00 1]
7	H	(3)	159.76	1.429	22.0%	0.063	22.0%	75.4	7.2%	5.267	20.7%	13.23%	38.3%	41.9%	19.7%	[1-1.00 1]
8	H	(3)	179.46	1.198	21.9%	0.060	21.9%	68.4	7.2%	4.866	20.7%	12.96%	39.1%	43.1%	17.8%	[1-1.00 1]
9	H	(3)	199.15	0.578	16.6%	0.032	16.6%	37.5	5.4%	4.285	15.7%	12.90%	40.0%	50.7%	9.4%	[1-1.00 1]
10	H	(3)	220.01	0.483	16.9%	0.030	16.9%	34.3	5.8%	3.913	15.9%	12.90%	42.0%	49.5%	8.5%	[1-1.00 1]
11	H	(3)	240.89	0.428	15.7%	0.029	15.7%	29.3	4.9%	4.060	15.0%	12.19%	44.1%	48.9%	7.0%	[1-1.00 1]
12	H	(3)	260.57	0.752	18.7%	0.054	18.7%	49.7	5.9%	4.200	17.7%	11.56%	41.0%	46.2%	12.8%	[1-1.00 1]
13	H	(3)	282.60	0.784	18.9%	0.062	18.9%	49.9	6.4%	4.365	17.8%	11.00%	43.6%	43.7%	12.6%	[1-1.00 1]
14	H	(3)	302.29	0.815	20.3%	0.068	20.3%	51.3	7.3%	4.409	19.0%	10.66%	46.1%	41.1%	12.8%	[1-1.00 1]
15	H	(3)	321.99	0.841	22.1%	0.075	22.1%	52.5	8.8%	4.444	20.3%	10.37%	48.4%	38.5%	13.0%	[1-1.00 1]
18	H	(6)	383.42	0.856	21.8%	0.091	21.8%	51.7	9.0%	4.602	19.9%	9.35%	48.3%	38.9%	12.7%	[1-1.00 1]
19	H	(6)	421.70	0.559	20.8%	0.065	20.8%	32.3	12.9%	4.810	16.3%	8.71%	52.9%	40.0%	7.1%	[1-1.00 1]
20	H	(6)	440.26	0.556	19.6%	0.068	19.6%	31.9	12.2%	4.838	15.4%	8.44%	51.7%	41.1%	7.2%	[1-1.00 1]
21	H	(6)	459.96	0.506	18.1%	0.065	18.1%	29.2	11.1%	4.804	14.2%	8.22%	50.0%	43.4%	6.6%	[1-1.00 1]
22	H	(6)	480.82	0.469	15.4%	0.063	15.4%	27.0	8.3%	4.824	13.0%	7.98%	48.0%	46.0%	6.0%	[1-1.00 1]
23	H	(6)	520.24	0.491	14.1%	0.071	14.1%	27.9	7.3%	4.880	12.1%	7.62%	47.5%	46.1%	6.4%	[1-1.00 1]
24	H	(6)	541.10	0.459	11.5%	0.069	11.5%	25.9	3.7%	4.922	10.9%	7.38%	46.2%	47.9%	5.9%	[1-1.00 1]
25	H	(6)	559.63	0.454	10.7%	0.071	10.7%	25.3	3.3%	4.991	10.2%	7.20%	45.8%	48.6%	5.7%	[1-1.00 1]
26	H	(6)	580.49	0.509	11.2%	0.082	11.2%	28.4	4.9%	4.983	10.1%	7.10%	45.9%	47.5%	6.6%	[1-1.00 1]
27	H	(6)	601.34	0.556	11.1%	0.093	11.1%	30.7	5.5%	5.033	9.7%	6.96%	46.6%	46.1%	7.4%	[1-1.00 1]
28	H	(6)	619.92	0.668	11.4%	0.115	11.4%	36.2	6.3%	5.130	9.5%	6.82%	46.9%	44.0%	9.0%	[1-1.00 1]
29	H	(6)	641.96	0.837	14.2%	0.149	14.2%	44.4	10.1%	5.241	10.0%	6.71%	48.4%	40.4%	11.2%	[1-1.00 1]
30	H	(6)	661.67	0.885	15.3%	0.163	15.3%	46.8	11.6%	5.260	10.0%	6.62%	49.1%	39.0%	11.9%	[1-1.00 1]
31	H	(6)	681.38	0.901	15.5%	0.171	15.5%	47.6	11.9%	5.260	10.0%	6.54%	49.5%	38.3%	12.2%	[1-1.00 1]
32	H	(6)	702.24	0.960	16.5%	0.187	16.5%	50.2	13.0%	5.311	10.1%	6.43%	49.5%	37.7%	12.8%	[1-1.00 1]
33	H	(6)	721.94	0.895	17.4%	0.179	17.4%	47.2	14.2%	5.268	10.1%	6.35%	49.3%	38.9%	11.8%	[1-1.00 1]
34	H	(6)	740.47	0.753	15.2%	0.155	15.2%	40.0	11.8%	5.236	9.5%	6.26%	49.3%	40.8%	9.9%	[1-1.00 1]
