[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.74	0.726	90.8%	0.004	90.8%	174.5	18.5%	1.156	88.9%	100.00%	16.5%	35.3%	48.2%	[1-0.43 0]
1	H	(3)	39.42	0.260	100.0%	0.003	100.0%	149.8	21.6%	0.482	100.0%	88.07%	24.6%	34.5%	40.9%	[1-0.43 0]
2	H	(3)	59.06	0.213	100.0%	0.003	100.0%	142.8	20.9%	0.415	100.0%	77.02%	34.5%	26.8%	38.6%	[1-0.43 0]
3	H	(3)	79.89	0.174	100.0%	0.004	100.0%	127.3	20.2%	0.378	100.0%	71.82%	45.5%	20.1%	34.4%	[1-0.43 0]
4	H	(3)	100.74	0.157	100.0%	0.004	100.0%	122.1	19.9%	0.358	100.0%	65.55%	50.5%	16.7%	32.8%	[1-0.43 0]
5	H	(3)	120.44	0.131	100.0%	0.004	100.0%	107.6	20.2%	0.339	100.0%	64.67%	60.2%	11.3%	28.5%	[1-0.43 0]
6	H	(3)	140.14	0.159	77.6%	0.006	77.6%	95.5	17.7%	0.463	75.5%	54.95%	66.9%	8.0%	25.1%	[1-0.43 0]
7	H	(3)	159.85	0.129	69.8%	0.006	69.8%	77.2	16.6%	0.464	67.8%	52.40%	72.6%	7.7%	19.7%	[1-0.43 0]
8	H	(3)	179.57	0.100	69.6%	0.005	69.6%	68.5	16.1%	0.407	67.7%	51.99%	72.6%	10.5%	16.9%	[1-0.43 0]
9	H	(3)	199.27	0.077	64.0%	0.004	64.0%	51.7	15.0%	0.414	62.2%	49.91%	78.0%	10.0%	12.0%	[1-0.43 0]
10	H	(3)	220.12	0.074	48.9%	0.005	48.9%	39.3	11.9%	0.522	47.5%	42.36%	83.1%	8.5%	8.4%	[1-0.43 0]
11	H	(3)	239.83	0.067	47.5%	0.004	47.5%	35.1	11.0%	0.528	46.3%	41.70%	87.8%	5.1%	7.1%	[1-0.43 0]
12	H	(3)	259.52	0.071	43.4%	0.005	43.4%	35.5	10.6%	0.559	42.1%	39.46%	88.9%	3.8%	7.3%	[1-0.43 0]
