[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.72	1.921	35.1%	0.011	35.1%	84.7	7.7%	6.296	34.2%	34.46%	34.5%	42.2%	23.3%	[1-1.00 0]
1	H	(3)	39.37	1.289	34.7%	0.014	34.7%	68.8	8.5%	5.206	33.7%	26.77%	36.2%	45.2%	18.6%	[1-1.00 0]
2	H	(3)	59.05	1.401	24.0%	0.023	24.0%	69.5	7.6%	5.597	22.8%	21.21%	39.9%	42.0%	18.2%	[1-1.00 1]
3	H	(3)	79.79	1.435	21.4%	0.032	21.4%	74.1	6.9%	5.381	20.3%	18.84%	41.9%	38.7%	19.4%	[1-1.00 1]
4	H	(3)	99.48	1.097	18.6%	0.030	18.6%	57.4	7.2%	5.306	17.2%	16.65%	36.2%	48.9%	14.9%	[1-1.00 1]
5	H	(3)	119.19	1.350	16.5%	0.045	16.5%	67.0	6.8%	5.600	15.0%	14.68%	35.0%	47.6%	17.5%	[1-1.00 1]
6	H	(3)	140.05	1.565	16.2%	0.061	16.2%	75.5	7.9%	5.755	14.1%	13.59%	39.7%	40.4%	20.0%	[1-1.00 1]
7	H	(3)	159.77	1.369	16.1%	0.061	16.1%	67.3	9.2%	5.652	13.2%	12.78%	38.5%	43.4%	18.1%	[1-1.00 1]
8	H	(3)	179.48	1.342	14.6%	0.067	14.6%	70.3	7.0%	5.303	12.8%	12.30%	35.1%	45.8%	19.1%	[1-1.00 1]
9	H	(3)	199.20	1.193	13.3%	0.066	13.3%	65.0	5.4%	5.097	12.1%	11.73%	31.3%	51.0%	17.7%	[1-1.00 1]
10	H	(3)	220.04	0.911	13.4%	0.056	13.4%	51.2	6.7%	4.938	11.6%	11.21%	29.5%	56.9%	13.5%	[1-1.00 1]
11	H	(3)	239.74	0.724	13.4%	0.048	13.4%	41.7	7.4%	4.824	11.2%	10.77%	29.2%	60.3%	10.5%	[1-1.00 1]
12	H	(3)	259.44	0.584	13.5%	0.042	13.5%	33.6	8.2%	4.834	10.7%	10.31%	29.8%	61.8%	8.4%	[1-1.00 1]
13	H	(6)	279.16	0.652	14.4%	0.051	14.4%	36.6	10.2%	4.943	10.3%	9.93%	31.6%	59.2%	9.2%	[1-1.00 1]
14	H	(6)	300.01	0.736	14.0%	0.061	14.0%	41.2	9.2%	4.960	10.5%	9.61%	32.7%	57.0%	10.4%	[1-1.00 1]
15	H	(6)	319.74	0.915	12.9%	0.081	12.9%	49.5	8.1%	5.142	10.0%	9.18%	34.1%	53.2%	12.8%	[1-1.00 1]
16	H	(6)	339.44	0.970	11.4%	0.091	11.4%	52.1	6.7%	5.174	9.3%	8.97%	36.0%	50.3%	13.8%	[1-1.00 1]
17	H	(6)	359.17	0.952	10.5%	0.095	10.5%	51.1	5.5%	5.176	9.0%	8.73%	36.1%	50.4%	13.5%	[1-1.00 1]
18	H	(6)	380.08	1.127	11.6%	0.119	11.6%	58.8	7.6%	5.325	8.7%	8.45%	38.2%	46.4%	15.4%	[1-1.00 1]
19	H	(6)	399.80	1.148	11.9%	0.127	11.9%	59.3	8.4%	5.373	8.5%	8.26%	39.9%	44.8%	15.3%	[1-1.00 1]
20	H	(6)	419.51	0.952	11.9%	0.111	11.9%	50.1	8.6%	5.283	8.3%	8.08%	39.4%	47.9%	12.7%	[1-1.00 1]
21	H	(6)	439.23	0.841	12.0%	0.103	12.0%	44.4	8.8%	5.264	8.1%	7.87%	38.9%	49.9%	11.2%	[1-1.00 1]
22	H	(6)	460.11	0.789	13.7%	0.101	13.7%	41.3	11.2%	5.306	8.0%	7.67%	40.0%	49.8%	10.1%	[1-1.00 1]
23	H	(6)	479.83	0.718	13.2%	0.096	13.2%	37.6	10.6%	5.294	7.8%	7.51%	39.8%	51.3%	8.9%	[1-1.00 1]
24	H	(6)	499.54	0.720	10.1%	0.100	10.1%	37.9	6.7%	5.280	7.6%	7.33%	37.8%	53.4%	8.8%	[1-1.00 1]
25	H	(6)	519.25	0.665	11.4%	0.096	11.4%	34.5	8.6%	5.351	7.5%	7.18%	40.8%	51.4%	7.8%	[1-1.00 1]
26	H	(6)	540.14	0.735	14.0%	0.110	14.0%	37.4	11.2%	5.462	8.4%	7.06%	43.9%	47.3%	8.8%	[1-1.00 1]
27	H	(6)	559.84	0.784	14.5%	0.122	14.5%	39.7	11.3%	5.484	9.2%	6.94%	45.0%	45.4%	9.6%	[1-1.00 1]
28	H	(6)	579.54	0.708	12.3%	0.114	12.3%	36.4	8.7%	5.404	8.6%	6.82%	42.9%	48.4%	8.7%	[1-1.00 1]
29	H	(6)	600.43	0.694	10.9%	0.116	10.9%	35.7	7.6%	5.393	7.8%	6.69%	41.7%	49.8%	8.5%	[1-1.00 1]
